symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ERCC2,175,-0.28,0.29,-1,0.47,0.17
CRIP2,136,0.42,0.44,1,0.47,0.17
WASH6P.1,127,-0.69,0.72,-1,0.47,0.17
KRBOX4,279,0.22,0.23,1,0.47,0.17
BUD13,339,-0.2,0.21,-1,0.47,0.17
MAPK1,4136,0.19,0.19,1,0.47,0.17
OGDH,1989,0.21,0.21,1,0.47,0.17
IQCB1,356,-0.32,0.33,-1,0.47,0.17
GMCL1,969,0.21,0.22,1,0.47,0.17
TIA1,1414,-0.29,0.3,-1,0.47,0.17
ADGRE3,152,-0.26,0.27,-1,0.47,0.17
PPP1R3B,222,0.34,0.36,1,0.47,0.17
BACE1,191,-0.26,0.27,-1,0.47,0.17
LSM2,394,0.18,0.18,1,0.47,0.17
RPS21,9330,0.21,0.22,1,0.47,0.17
DARS2,243,0.21,0.22,1,0.47,0.17
DAB2,507,-0.46,0.48,-1,0.47,0.17
MUC20.OT1,250,-0.65,0.67,-1,0.47,0.17
USP5,1003,0.2,0.21,1,0.47,0.17
NXPE3,1721,0.3,0.31,1,0.47,0.17
CCDC25,752,0.21,0.22,1,0.47,0.17
RANBP2,2368,-0.34,0.35,-1,0.47,0.17
ANKH,926,0.26,0.27,1,0.47,0.17
EYA3,292,-0.29,0.3,-1,0.47,0.17
LAIR1,1252,-0.15,0.16,-1,0.47,0.17
MRPL30,689,0.23,0.24,1,0.47,0.17
GLI4,72,-0.48,0.5,-1,0.47,0.17
IFI27L2,206,-0.29,0.31,-1,0.47,0.17
CCNG1,2569,0.18,0.19,1,0.47,0.17
TBCE,165,-0.44,0.47,-1,0.47,0.17
GPR137B,373,0.27,0.28,1,0.47,0.17
AVL9,747,-0.23,0.25,-1,0.47,0.17
METTL9,5126,-0.2,0.21,-1,0.47,0.17
IGKV1.27,47,0.62,0.65,1,0.47,0.17
PUS3,223,0.27,0.28,1,0.47,0.17
RBMXL1,507,0.19,0.2,1,0.47,0.17
KLF7,612,-0.29,0.3,-1,0.47,0.17
SLC39A6,912,0.2,0.21,1,0.47,0.17
GALNT6,378,0.22,0.23,1,0.47,0.17
HDAC6,426,-0.31,0.33,-1,0.47,0.17
CCDC134,188,-0.25,0.26,-1,0.47,0.17
PITPNM1,856,-0.32,0.33,-1,0.47,0.17
SAV1,521,0.27,0.29,1,0.47,0.17
RPL36AL,4810,0.19,0.2,1,0.47,0.17
RAD51D,208,0.25,0.26,1,0.47,0.17
WASH5P.1,280,-0.99,1.04,-1,0.47,0.17
POLR2B,2521,0.14,0.15,1,0.47,0.17
COPS9,730,-0.22,0.24,-1,0.47,0.17
RGPD5,143,0.53,0.56,0.9,0.46,0.17
MNAT1,113,0.3,0.32,0.9,0.46,0.17
PDRG1,241,0.19,0.2,0.9,0.46,0.17
ARCN1,3113,0.18,0.19,0.9,0.46,0.17
MAZ,1864,0.14,0.15,0.9,0.46,0.17
ZFAND1,1101,0.17,0.18,0.9,0.46,0.17
TFAM,1124,0.21,0.22,0.9,0.47,0.17
CLCN3,1192,0.3,0.32,0.9,0.47,0.17
SPTBN1,1382,0.21,0.22,0.9,0.47,0.17
SDHB,1000,-0.13,0.14,-0.9,0.46,0.17
AKAP7,388,0.23,0.24,0.9,0.46,0.17
PDZD11,230,0.18,0.19,1,0.47,0.17
NR2C1,231,-0.37,0.39,-0.9,0.46,0.17
F13A1,6616,-0.43,0.46,-0.9,0.46,0.17
PPAN,304,-0.17,0.18,-0.9,0.46,0.17
TOP2A,91,0.45,0.47,0.9,0.47,0.17
NUP210,2540,0.13,0.14,0.9,0.46,0.17
PER2,144,-0.27,0.28,-0.9,0.46,0.17
STX17,716,0.28,0.29,0.9,0.47,0.17
RNF185,677,0.15,0.16,0.9,0.47,0.17
SNAP47,284,0.14,0.15,0.9,0.46,0.17
ZC3H8,204,0.2,0.21,0.9,0.46,0.17
SCRN3,270,0.19,0.2,0.9,0.46,0.17
DPH7,235,-0.48,0.51,-0.9,0.46,0.17
KIAA1328,99,0.28,0.3,0.9,0.46,0.17
ACAD8,341,-0.22,0.23,-0.9,0.46,0.17
USP25,1394,0.18,0.19,0.9,0.46,0.17
ZKSCAN2,87,0.26,0.27,0.9,0.46,0.17
PANK4,339,-0.25,0.26,-0.9,0.46,0.17
TRAPPC10,1126,0.29,0.31,0.9,0.46,0.17
EEIG2,778,-0.17,0.18,-0.9,0.46,0.17
PGRMC2,1075,0.21,0.22,0.9,0.46,0.17
IRF2BP2,3472,-0.22,0.24,-0.9,0.46,0.17
ZNF160,520,0.22,0.23,0.9,0.46,0.17
LRRC8C,1801,0.23,0.24,0.9,0.46,0.17
PTPN2,1326,-0.17,0.18,-0.9,0.46,0.17
ORAI3,426,-0.18,0.19,-0.9,0.47,0.17
NAIPP2,403,0.72,0.76,0.9,0.46,0.17
SPATS2L,171,-0.35,0.37,-0.9,0.47,0.17
WDR5,526,0.17,0.18,0.9,0.46,0.17
ZNF569,160,0.33,0.35,0.9,0.46,0.17
GK,457,-0.29,0.31,-0.9,0.46,0.17
DNASE1,174,-0.58,0.61,-1,0.47,0.17
LINC00649,382,0.41,0.43,0.9,0.46,0.17
STUB1,834,-0.18,0.19,-0.9,0.46,0.17
KICS2,168,0.33,0.35,0.9,0.46,0.17
ST8SIA1,81,0.6,0.63,0.9,0.46,0.16
IKZF4,90,-0.29,0.3,-0.9,0.46,0.16
EMG1,610,0.19,0.2,0.9,0.46,0.16
ABT1,710,0.18,0.19,0.9,0.46,0.16
PHLDB3,66,0.37,0.4,0.9,0.46,0.16
MROH1,226,-0.41,0.44,-0.9,0.46,0.16
CDK10,272,-0.51,0.54,-0.9,0.46,0.16
ACSL5,1465,0.18,0.19,0.9,0.46,0.16
LY75,1951,0.25,0.27,0.9,0.46,0.16
LAPTM4A,3008,-0.17,0.18,-0.9,0.46,0.16
PDCD7,629,0.21,0.22,0.9,0.46,0.16
CAMTA2,601,-0.3,0.32,-0.9,0.46,0.16
NLN,418,-0.28,0.3,-0.9,0.46,0.16
PDHA1,825,-0.21,0.22,-0.9,0.46,0.16
MRPL10,574,0.2,0.21,0.9,0.46,0.16
CIAO2A,1295,-0.22,0.23,-0.9,0.46,0.16
EHMT1,655,0.23,0.25,0.9,0.46,0.16
SPIN4,121,0.34,0.36,0.9,0.46,0.16
TRBV20.1,258,0.52,0.55,0.9,0.46,0.16
TRAV12.1,57,0.62,0.66,0.9,0.46,0.16
ARHGEF35.AS1,252,0.36,0.38,0.9,0.46,0.16
DYNLL2,2643,0.23,0.24,0.9,0.46,0.16
TAF1B,208,0.19,0.2,0.9,0.46,0.16
BRIX1,434,0.16,0.17,0.9,0.46,0.16
NAP1L1,17782,0.17,0.18,0.9,0.46,0.16
LAP3,2255,-0.29,0.31,-0.9,0.46,0.16
AP3M1,1195,0.2,0.21,0.9,0.46,0.16
TYSND1,240,-0.18,0.19,-0.9,0.46,0.16
CRIM1,155,0.36,0.39,0.9,0.46,0.16
ETFRF1,585,-0.16,0.17,-0.9,0.46,0.16
TRA2A,1665,-0.22,0.24,-0.9,0.46,0.16
SLC7A6,893,-0.27,0.29,-0.9,0.46,0.16
CUEDC2,504,-0.14,0.15,-0.9,0.46,0.16
PLAGL2,742,-0.17,0.18,-0.9,0.46,0.16
NPTN,1672,0.15,0.16,0.9,0.46,0.16
GLYCTK,106,-0.38,0.41,-0.9,0.46,0.16
ANXA2R,150,0.31,0.33,0.9,0.46,0.16
TMED5,2554,0.1,0.11,0.9,0.46,0.16
SPCS3,5097,-0.12,0.13,-0.9,0.46,0.16
PSMD10,749,0.15,0.16,0.9,0.46,0.16
THAP9,92,0.25,0.26,0.9,0.46,0.16
COMMD8,837,-0.27,0.29,-0.9,0.46,0.16
ZNF451,1017,-0.14,0.15,-0.9,0.46,0.16
CCDC50,1009,-0.18,0.19,-0.9,0.46,0.16
VSTM1,253,-1,1.07,-0.9,0.46,0.16
FASLG,168,0.62,0.66,0.9,0.46,0.16
TRAF7,780,-0.17,0.18,-0.9,0.46,0.16
ULK3,364,-0.45,0.48,-0.9,0.46,0.16
CLIC2,232,-0.42,0.45,-0.9,0.46,0.16
SNTB2,325,0.21,0.22,0.9,0.46,0.16
ZBTB20,89,0.49,0.52,0.9,0.46,0.16
ABAT,267,-0.19,0.2,-0.9,0.46,0.16
MIR3667HG,136,-0.23,0.25,-0.9,0.46,0.16
C12orf75,725,0.35,0.37,0.9,0.46,0.16
CD38,383,-0.4,0.43,-0.9,0.46,0.16
DEF6,1532,-0.12,0.13,-0.9,0.46,0.16
CDC37,2084,-0.12,0.13,-0.9,0.46,0.16
FARSB,492,0.21,0.22,0.9,0.46,0.16
MEN1,441,0.16,0.17,0.9,0.46,0.16
TIMM17A,679,-0.18,0.19,-0.9,0.46,0.16
YARS2,179,-0.27,0.29,-0.9,0.46,0.16
TIPRL,1051,0.12,0.13,0.9,0.46,0.16
SETBP1,159,0.42,0.45,0.9,0.46,0.16
GPD1L,587,0.18,0.19,0.9,0.46,0.16
UBASH3A,376,0.34,0.36,0.9,0.46,0.16
SYVN1,578,0.13,0.14,0.9,0.46,0.16
SELENON,860,-0.19,0.2,-0.9,0.46,0.16
STARD10,148,-0.25,0.27,-0.9,0.46,0.16
PPP6C,2691,0.12,0.13,0.9,0.46,0.16
UMAD1,286,0.23,0.25,0.9,0.45,0.16
ALYREF,604,-0.19,0.2,-0.9,0.45,0.16
PLGRKT,245,0.26,0.28,0.9,0.45,0.16
EMC3,1015,-0.27,0.28,-0.9,0.45,0.16
ZNF597,136,0.25,0.27,0.9,0.45,0.16
CCDC167,196,0.28,0.3,0.9,0.45,0.16
ARHGEF7,798,-0.18,0.19,-0.9,0.45,0.16
NREP,290,-0.26,0.28,-0.9,0.45,0.16
RFX5,1131,0.2,0.22,0.9,0.45,0.16
PCYOX1,849,0.25,0.27,0.9,0.45,0.16
SYAP1,711,0.17,0.19,0.9,0.45,0.16
LGMN,164,-0.23,0.25,-0.9,0.45,0.16
FANCF,398,0.37,0.4,0.9,0.45,0.16
HLA.L.1,57,-0.91,0.98,-0.9,0.45,0.16
IFIH1,812,-0.18,0.2,-0.9,0.45,0.16
ICAM3,3876,0.11,0.12,0.9,0.45,0.16
ZNF542P.1,259,0.5,0.54,0.9,0.45,0.16
MTSS1,1528,0.17,0.19,0.9,0.45,0.16
FPR2,562,-0.23,0.25,-0.9,0.45,0.16
KAT5,674,-0.18,0.19,-0.9,0.45,0.16
STRN,1250,0.2,0.21,0.9,0.45,0.16
MTA2,2061,-0.15,0.16,-0.9,0.45,0.16
CD244,1375,-0.17,0.19,-0.9,0.45,0.16
ORC3,326,0.17,0.18,0.9,0.45,0.16
ZNF628,65,0.31,0.33,0.9,0.45,0.16
B3GALNT2,322,-0.18,0.19,-0.9,0.45,0.16
BRD9,498,-0.23,0.24,-0.9,0.45,0.16
UIMC1,641,-0.26,0.28,-0.9,0.45,0.16
TPMT,845,-0.15,0.16,-0.9,0.45,0.16
SPRED1,175,-0.29,0.31,-0.9,0.45,0.16
GUCY2C.AS1,81,-0.35,0.38,-0.9,0.45,0.16
FAM210B,861,0.16,0.18,0.9,0.45,0.16
ARMC10,954,0.12,0.13,0.9,0.45,0.16
NDUFC1,325,-0.17,0.19,-0.9,0.45,0.16
TLE3,1280,-0.22,0.24,-0.9,0.45,0.16
ZNF155,78,0.41,0.44,0.9,0.45,0.16
CLN8.AS1,194,-0.31,0.34,-0.9,0.45,0.16
PDCD2L,78,0.33,0.35,0.9,0.45,0.16
NGRN,707,0.2,0.22,0.9,0.45,0.16
NPIPB13,174,-0.67,0.72,-0.9,0.45,0.16
DHRS4L2,395,-0.32,0.35,-0.9,0.45,0.16
TAFAZZIN,363,-0.33,0.36,-0.9,0.45,0.16
ZNF792,309,0.3,0.32,0.9,0.45,0.16
MYBBP1A,390,-0.28,0.3,-0.9,0.45,0.16
RAP2A,1135,0.34,0.37,0.9,0.45,0.16
TEX10,294,0.23,0.25,0.9,0.45,0.16
ZNF830,449,0.35,0.38,0.9,0.45,0.16
MRPL38,483,-0.14,0.15,-0.9,0.45,0.16
EMP3,3624,-0.14,0.15,-0.9,0.45,0.16
PDIA5,113,-0.28,0.3,-0.9,0.45,0.16
NSF,922,-0.15,0.16,-0.9,0.45,0.16
MZF1,142,-0.58,0.63,-0.9,0.45,0.16
AP4S1,230,0.29,0.32,0.9,0.45,0.16
YJU2B,259,-0.51,0.56,-0.9,0.45,0.16
AGO4,1552,-0.21,0.23,-0.9,0.45,0.16
PGP,208,-0.28,0.3,-0.9,0.45,0.16
SMC4,649,-0.18,0.19,-0.9,0.45,0.16
HS3ST3B1,288,0.32,0.35,0.9,0.45,0.16
ATIC,879,0.2,0.21,0.9,0.45,0.16
HIC2,100,-0.31,0.33,-0.9,0.45,0.16
PPIA,14000,0.15,0.16,0.9,0.45,0.16
TRAV17,101,0.57,0.62,0.9,0.45,0.16
PCBP1.AS1.1,2571,-0.24,0.26,-0.9,0.45,0.16
RSKR,73,-0.78,0.85,-0.9,0.45,0.16
ASTE1,202,0.32,0.35,0.9,0.45,0.16
ACBD5,664,-0.14,0.15,-0.9,0.45,0.16
CNPPD1,1466,0.14,0.15,0.9,0.45,0.16
LCORL,264,-0.2,0.22,-0.9,0.45,0.16
MED12,501,-0.18,0.2,-0.9,0.45,0.16
SMG5,696,-0.3,0.33,-0.9,0.45,0.16
BATF,258,0.3,0.32,0.9,0.45,0.16
FADD,338,0.27,0.3,0.9,0.45,0.16
CHI3L2,243,0.42,0.46,0.9,0.45,0.16
CLEC11A,74,-0.4,0.44,-0.9,0.45,0.16
NISCH,861,-0.4,0.43,-0.9,0.45,0.16
SART3,990,0.13,0.14,0.9,0.45,0.16
STXBP4,88,0.53,0.57,0.9,0.45,0.16
ABCB8,215,-0.24,0.26,-0.9,0.45,0.16
MYO15B,492,-1.27,1.38,-0.9,0.45,0.16
UQCC4,112,0.19,0.21,0.9,0.45,0.16
GUK1,1193,-0.15,0.16,-0.9,0.45,0.16
TRMT6,441,0.13,0.15,0.9,0.45,0.16
ZC3H14,698,0.19,0.21,0.9,0.45,0.16
TAF2,527,-0.2,0.21,-0.9,0.45,0.16
UBR2,1224,-0.14,0.15,-0.9,0.45,0.16
OSBP,970,0.19,0.21,0.9,0.45,0.16
FAF2,633,0.15,0.17,0.9,0.45,0.16
CCDC82,732,-0.11,0.12,-0.9,0.45,0.16
TSPAN33,693,-0.4,0.43,-0.9,0.45,0.16
CHMP4B,2419,-0.17,0.19,-0.9,0.44,0.16
AGPS,1249,0.21,0.23,0.9,0.44,0.16
CD93,4397,-0.32,0.35,-0.9,0.44,0.16
CTU1,75,-0.3,0.33,-0.9,0.44,0.16
TBC1D31,219,0.36,0.39,0.9,0.44,0.16
DLEU1,158,0.31,0.34,0.9,0.44,0.16
SMIM10L1,524,0.16,0.18,0.9,0.44,0.16
INTS6L,351,-0.36,0.4,-0.9,0.44,0.16
ARMH1,215,-0.34,0.37,-0.9,0.44,0.16
AGPAT1,880,-0.34,0.37,-0.9,0.44,0.16
TSPYL4,339,0.25,0.27,0.9,0.44,0.16
ZC3H4,888,0.37,0.41,0.9,0.44,0.16
ANAPC13,819,-0.18,0.2,-0.9,0.44,0.16
PDIK1L,276,0.27,0.29,0.9,0.44,0.16
PLEKHA8,234,-0.17,0.18,-0.9,0.44,0.16
NDUFAB1,576,-0.22,0.24,-0.9,0.44,0.16
APOBEC3F,223,0.29,0.31,0.9,0.44,0.16
ATP6AP1,1548,-0.16,0.18,-0.9,0.44,0.16
SLC25A3,5922,-0.17,0.19,-0.9,0.44,0.16
GMEB2,292,0.18,0.19,0.9,0.44,0.16
RTL8C,314,-0.21,0.23,-0.9,0.44,0.16
FSAF1,316,-0.17,0.18,-0.9,0.44,0.16
LRIG1,395,0.49,0.54,0.9,0.44,0.16
TBCK,282,0.25,0.27,0.9,0.44,0.16
TOPBP1,749,-0.21,0.23,-0.9,0.44,0.16
SPINDOC,89,0.24,0.26,0.9,0.44,0.16
FBXO46,212,0.22,0.24,0.9,0.44,0.16
ADI1,1570,-0.16,0.17,-0.9,0.44,0.16
TRMT12,262,0.16,0.18,0.9,0.44,0.16
ZNF252P.1,393,0.2,0.21,0.9,0.44,0.16
C3,117,-0.48,0.53,-0.9,0.44,0.16
YIF1A,241,-0.18,0.2,-0.9,0.44,0.16
DKK3,123,0.49,0.54,0.9,0.44,0.16
GBP2,3959,-0.26,0.29,-0.9,0.44,0.16
QSER1,422,-0.25,0.28,-0.9,0.44,0.16
CCDC127,270,0.3,0.33,0.9,0.44,0.16
CADM1,83,0.45,0.49,0.9,0.44,0.16
PPM1H,81,-0.34,0.38,-0.9,0.44,0.16
RUVBL2,465,0.13,0.14,0.9,0.44,0.16
ATP5F1D,540,-0.26,0.28,-0.9,0.44,0.16
OBSCN,181,0.32,0.35,0.9,0.44,0.16
GATB,205,0.19,0.21,0.9,0.44,0.16
PHTF1,217,-0.22,0.25,-0.9,0.44,0.16
VMAC,120,-0.35,0.39,-0.9,0.44,0.16
CNOT8,3138,0.11,0.13,0.9,0.44,0.16
ETF1,1815,-0.15,0.16,-0.9,0.44,0.16
KATNB1,221,-0.21,0.23,-0.9,0.44,0.16
FEZ1,79,0.56,0.61,0.9,0.44,0.16
UBE2E2,351,-0.25,0.28,-0.9,0.44,0.16
HLA.DQB1,4668,0.49,0.54,0.9,0.44,0.16
FHL1,521,-0.43,0.47,-0.9,0.44,0.16
MPC1,565,-0.18,0.2,-0.9,0.44,0.16
CA11,74,0.33,0.37,0.9,0.44,0.16
PPM1F,1376,-0.31,0.34,-0.9,0.44,0.16
POP4,611,-0.16,0.18,-0.9,0.44,0.16
PRXL2A,147,0.24,0.26,0.9,0.44,0.16
RBCK1,962,-0.18,0.2,-0.9,0.44,0.16
TMEM45B,66,0.55,0.61,0.9,0.44,0.16
OBI1,370,0.27,0.29,0.9,0.44,0.16
NADK2,329,-0.16,0.17,-0.9,0.44,0.16
CEBPG,903,-0.16,0.18,-0.9,0.44,0.16
NBPF9,441,-0.41,0.45,-0.9,0.44,0.16
HOMEZ,292,0.18,0.2,0.9,0.44,0.16
UGDH,373,0.23,0.25,0.9,0.44,0.16
AQP3,1153,0.39,0.43,0.9,0.44,0.16
STAM,352,-0.2,0.22,-0.9,0.44,0.16
SUSD3,278,0.21,0.24,0.9,0.44,0.16
CRBN,1575,0.11,0.12,0.9,0.44,0.16
MRPL50,648,0.3,0.33,0.9,0.44,0.16
BRPF1,402,-0.15,0.17,-0.9,0.44,0.16
NIFK,795,0.14,0.15,0.9,0.44,0.16
RNASEH2B,1088,0.15,0.17,0.9,0.44,0.16
MTCL2,201,-0.27,0.3,-0.9,0.44,0.16
DGUOK,718,0.11,0.12,0.9,0.44,0.16
RMND5A,1405,0.14,0.16,0.9,0.44,0.16
NAA20,872,-0.17,0.19,-0.9,0.44,0.16
KIF2A,3812,0.27,0.3,0.9,0.44,0.16
CHAC2,44,0.49,0.54,0.9,0.44,0.16
HACE1,153,0.23,0.25,0.9,0.44,0.16
ANKRD54,155,-0.18,0.2,-0.9,0.44,0.16
KIAA0586,417,0.2,0.23,0.9,0.44,0.16
TBCCD1,197,-0.14,0.16,-0.9,0.44,0.16
GON4L,746,-0.38,0.42,-0.9,0.44,0.16
SNRPB,2013,0.12,0.13,0.9,0.44,0.16
CCZ1B,998,-0.3,0.33,-0.9,0.44,0.16
PRKCI,486,0.18,0.19,0.9,0.44,0.16
TMEM11,318,-0.15,0.17,-0.9,0.44,0.16
SFT2D1,583,-0.16,0.17,-0.9,0.44,0.16
SLC66A2,523,-0.16,0.18,-0.9,0.44,0.16
KBTBD11,523,-0.24,0.27,-0.9,0.44,0.16
E2F4,882,-0.19,0.21,-0.9,0.43,0.16
BRF1,270,-0.23,0.25,-0.9,0.43,0.16
X5_8S_rRNA,124,-2.76,3.06,-0.9,0.43,0.16
DDX24,2407,0.22,0.24,0.9,0.43,0.16
USP33,1387,-0.12,0.13,-0.9,0.43,0.16
HARS2,458,-0.16,0.18,-0.9,0.43,0.16
PRKAB2,297,-0.25,0.28,-0.9,0.43,0.16
PPP1CC,4639,0.09,0.1,0.9,0.43,0.16
ZNF74,133,0.21,0.23,0.9,0.43,0.16
DDX49,360,-0.15,0.17,-0.9,0.43,0.16
TBC1D20,714,0.12,0.13,0.9,0.43,0.16
AIG1,238,-0.3,0.34,-0.9,0.43,0.16
ELMOD2,447,-0.17,0.19,-0.9,0.43,0.16
SRSF10,2001,-0.09,0.1,-0.9,0.43,0.16
HCG11,404,0.2,0.22,0.9,0.43,0.16
CAT,3527,-0.2,0.23,-0.9,0.43,0.16
EXT2,901,0.16,0.18,0.9,0.43,0.16
KIR2DS4,122,0.97,1.09,0.9,0.43,0.16
HAGH,366,-0.26,0.29,-0.9,0.43,0.16
SNRNP70,1616,-0.41,0.46,-0.9,0.43,0.16
OGG1,299,-0.19,0.21,-0.9,0.43,0.16
SERPINB6,1691,-0.21,0.23,-0.9,0.43,0.16
TTBK2,474,-0.21,0.23,-0.9,0.43,0.16
KIF1C,485,-0.18,0.2,-0.9,0.43,0.16
RB1,1672,0.1,0.11,0.9,0.43,0.16
LONRF1,186,0.2,0.22,0.9,0.43,0.16
IMMP2L,77,0.35,0.39,0.9,0.43,0.16
EVI2B,12097,-0.14,0.16,-0.9,0.43,0.16
MVP.DT,793,-0.3,0.34,-0.9,0.43,0.16
NIF3L1,344,0.15,0.17,0.9,0.43,0.16
TRAF5,645,0.26,0.29,0.9,0.43,0.15
WDR59,376,-0.32,0.35,-0.9,0.43,0.15
RINT1,284,0.2,0.23,0.9,0.43,0.15
ZNF217,2620,0.25,0.28,0.9,0.43,0.15
C16orf54,1458,-0.23,0.26,-0.9,0.43,0.15
RFNG,213,-0.34,0.38,-0.9,0.43,0.15
HADHB,1952,-0.17,0.19,-0.9,0.43,0.15
GPS1,812,-0.14,0.16,-0.9,0.43,0.15
SLC22A5,129,-0.29,0.32,-0.9,0.43,0.15
HSPE1.MOB4,61,0.79,0.88,0.9,0.43,0.15
GTF2H5,326,-0.19,0.22,-0.9,0.43,0.15
LUC7L,429,-0.5,0.56,-0.9,0.43,0.15
HIVEP2,1170,0.24,0.27,0.9,0.43,0.15
CCDC9,275,-0.2,0.23,-0.9,0.43,0.15
USPL1,627,0.2,0.22,0.9,0.43,0.15
CLOCK,423,-0.18,0.2,-0.9,0.43,0.15
INTS15,544,0.11,0.13,0.9,0.43,0.15
UBXN1,2504,0.1,0.11,0.9,0.43,0.15
SHPK,137,0.23,0.26,0.9,0.43,0.15
CDC42,14165,0.15,0.16,0.9,0.43,0.15
NUP133,750,-0.21,0.23,-0.9,0.43,0.15
YWHAH,1934,-0.27,0.31,-0.9,0.43,0.15
JAZF1,1134,0.24,0.27,0.9,0.43,0.15
MFN1,521,-0.19,0.21,-0.9,0.43,0.15
HNRNPA1P7,86,0.23,0.26,0.9,0.43,0.15
TRBV5.4,74,0.6,0.67,0.9,0.43,0.15
TMEM200B,150,-0.61,0.68,-0.9,0.43,0.15
PRRC1,1096,0.15,0.17,0.9,0.43,0.15
RASGRP2,1961,-0.28,0.31,-0.9,0.43,0.15
VSIG1,237,0.39,0.44,0.9,0.43,0.15
NFE2L2,3049,-0.2,0.22,-0.9,0.43,0.15
BRD4,1233,0.14,0.16,0.9,0.43,0.15
PPP1R15B,2194,-0.15,0.17,-0.9,0.43,0.15
SLC35B4,365,-0.16,0.18,-0.9,0.43,0.15
VPS26A,1336,0.15,0.17,0.9,0.43,0.15
ARL2,257,0.17,0.19,0.9,0.43,0.15
CASP7,548,0.14,0.15,0.9,0.43,0.15
PIAS2,331,0.18,0.2,0.9,0.43,0.15
USP21,337,-0.2,0.22,-0.9,0.43,0.15
NBL1,65,0.51,0.57,0.9,0.43,0.15
VDAC2,1717,0.12,0.14,0.9,0.43,0.15
SERPINB8,904,-0.24,0.27,-0.9,0.43,0.15
TCEA3,146,0.5,0.56,0.9,0.43,0.15
MAP10,99,-0.37,0.42,-0.9,0.43,0.15
TMED7.TICAM2,166,0.58,0.65,0.9,0.43,0.15
TOP6BL,65,0.46,0.51,0.9,0.43,0.15
MYDGF,737,-0.19,0.21,-0.9,0.43,0.15
ACP5,328,0.22,0.25,0.9,0.43,0.15
TCTA,492,0.15,0.17,0.9,0.43,0.15
MRPS23,625,0.15,0.17,0.9,0.43,0.15
GLMP,305,-0.25,0.28,-0.9,0.43,0.15
DDX52,472,0.17,0.19,0.9,0.43,0.15
LINC00294,135,-0.26,0.29,-0.9,0.43,0.15
EIF2AK2,1090,-0.35,0.39,-0.9,0.43,0.15
FAM136A,527,-0.15,0.17,-0.9,0.43,0.15
CDIP1,609,0.16,0.18,0.9,0.43,0.15
RAPGEF1,1977,0.2,0.22,0.9,0.43,0.15
ECHDC2,168,-0.55,0.62,-0.9,0.43,0.15
CCNH,515,-0.19,0.22,-0.9,0.42,0.15
RASGEF1B,315,-0.38,0.43,-0.9,0.42,0.15
EXO5,124,0.3,0.34,0.9,0.43,0.15
TCN2,250,-0.47,0.53,-0.9,0.43,0.15
BBIP1,434,-0.24,0.27,-0.9,0.43,0.15
OPA3,299,-0.19,0.22,-0.9,0.42,0.15
C1orf115,81,0.39,0.44,0.9,0.42,0.15
SNX16,150,-0.22,0.25,-0.9,0.42,0.15
EIF2B1,929,-0.1,0.11,-0.9,0.42,0.15
ACP3,287,-0.31,0.35,-0.9,0.42,0.15
PTMA,35137,0.13,0.14,0.9,0.42,0.15
SHFL,634,-0.28,0.31,-0.9,0.42,0.15
RPL29P4,66,0.24,0.28,0.9,0.42,0.15
SH3PXD2A,175,0.3,0.34,0.9,0.42,0.15
THBS1,732,-0.51,0.58,-0.9,0.42,0.15
LTA4H,7469,-0.26,0.29,-0.9,0.42,0.15
RNF135,491,-0.23,0.26,-0.9,0.42,0.15
FKBP2,213,-0.19,0.22,-0.9,0.42,0.15
CHD2,2109,-0.22,0.25,-0.9,0.42,0.15
MACO1,591,0.18,0.21,0.9,0.42,0.15
CRY2,409,0.16,0.19,0.9,0.42,0.15
BSDC1,737,0.13,0.15,0.9,0.42,0.15
MON2,733,-0.24,0.27,-0.9,0.42,0.15
NFE2L1,1428,0.22,0.25,0.9,0.42,0.15
KGD4,408,-0.22,0.25,-0.9,0.42,0.15
ZDHHC8,208,-0.43,0.48,-0.9,0.42,0.15
RBM15,215,0.14,0.16,0.9,0.42,0.15
PRIMPOL,249,0.19,0.21,0.9,0.42,0.15
COA6,316,-0.21,0.24,-0.9,0.42,0.15
ZBTB43,301,-0.21,0.24,-0.9,0.42,0.15
GEMIN6,282,0.2,0.23,0.9,0.42,0.15
DFFA,378,0.16,0.18,0.9,0.42,0.15
PEX13,343,0.24,0.27,0.9,0.42,0.15
TOR1A,1047,-0.1,0.12,-0.9,0.42,0.15
PTPN18,4016,-0.18,0.2,-0.9,0.42,0.15
SPTLC1,1256,-0.14,0.16,-0.9,0.42,0.15
CSNK1A1,3504,0.11,0.12,0.9,0.42,0.15
MPHOSPH10,584,0.14,0.16,0.9,0.42,0.15
NABP2,262,0.15,0.17,0.9,0.42,0.15
NIBAN3,423,0.57,0.65,0.9,0.42,0.15
PGM1,523,0.18,0.21,0.9,0.42,0.15
PPP2R1B,419,0.2,0.22,0.9,0.42,0.15
CXCL10,100,-0.57,0.65,-0.9,0.42,0.15
GPR171,481,0.49,0.56,0.9,0.42,0.15
CRCP,527,0.16,0.18,0.9,0.42,0.15
EIF3J,1374,0.19,0.21,0.9,0.42,0.15
LSM7,618,0.17,0.2,0.9,0.42,0.15
NFIA,99,0.37,0.42,0.9,0.42,0.15
ZNF780A,447,-0.25,0.28,-0.9,0.42,0.15
HDHD5,540,-0.2,0.23,-0.9,0.42,0.15
NINJ2,149,-0.21,0.24,-0.9,0.42,0.15
