symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IFFO2,739,0.47,0.22,2.1,1.46,0.41
SLC30A4,140,0.91,0.43,2.1,1.46,0.41
WDR12,348,-0.35,0.17,-2.1,1.46,0.41
PIGA,225,-0.54,0.26,-2.1,1.46,0.41
INSR,293,-0.72,0.34,-2.1,1.46,0.41
RPS27,38197,0.46,0.22,2.1,1.46,0.41
IGHV4.59,130,1.35,0.64,2.1,1.46,0.41
SLC26A6,191,-1.25,0.59,-2.1,1.46,0.41
IGLV2.11,52,1.53,0.73,2.1,1.45,0.41
VIM,30478,-0.55,0.26,-2.1,1.45,0.41
LIMA1,312,0.68,0.32,2.1,1.45,0.41
RNF130,4173,-0.52,0.25,-2.1,1.45,0.41
PINK1.AS,183,-1.26,0.6,-2.1,1.45,0.41
P3H1,316,-0.6,0.28,-2.1,1.45,0.41
TASL,684,-0.4,0.19,-2.1,1.45,0.41
CDC42EP1,82,-1.19,0.56,-2.1,1.45,0.41
CDC42EP2,146,-0.7,0.33,-2.1,1.45,0.41
TMEM164,1267,-0.41,0.19,-2.1,1.45,0.41
FMNL2,126,-0.73,0.35,-2.1,1.45,0.41
CMC1,515,0.47,0.23,2.1,1.45,0.41
SKIC2,442,-0.71,0.34,-2.1,1.45,0.41
ZNF138,179,0.53,0.25,2.1,1.45,0.4
ZNF44,360,0.37,0.18,2.1,1.45,0.4
GCN1,1058,-0.27,0.13,-2.1,1.44,0.4
TMEM38B,288,0.53,0.26,2.1,1.44,0.4
SLC29A1,140,-0.65,0.31,-2.1,1.44,0.4
OSBPL1A,197,-0.7,0.33,-2.1,1.44,0.4
LY96,448,-0.56,0.27,-2.1,1.44,0.4
ETS2,1016,-0.46,0.22,-2.1,1.44,0.4
SLC66A3,1391,-0.31,0.15,-2.1,1.44,0.4
NABP1,454,-0.74,0.35,-2.1,1.44,0.4
HSH2D,500,-0.81,0.39,-2.1,1.44,0.4
ABHD16A,523,-0.51,0.25,-2.1,1.44,0.4
CKLF,666,-0.43,0.21,-2.1,1.44,0.4
MTND1P23,179,-1.64,0.79,-2.1,1.44,0.4
LINC00937,150,-1.8,0.86,-2.1,1.44,0.4
OR2A1.AS1,237,0.92,0.44,2.1,1.44,0.4
EEF1G,48012,0.35,0.17,2.1,1.44,0.4
RN7SL2,626,-0.75,0.36,-2.1,1.44,0.4
TALAM1,4720,-2.37,1.13,-2.1,1.44,0.4
TK2,712,-0.59,0.28,-2.1,1.44,0.4
AMACR,187,0.65,0.31,2.1,1.44,0.4
TNFRSF9,54,0.81,0.39,2.1,1.43,0.4
KCTD3,186,-0.65,0.31,-2.1,1.43,0.4
SLC25A32,502,0.33,0.16,2.1,1.43,0.4
PLCB2,2479,-1.03,0.49,-2.1,1.43,0.4
TMEM19,769,0.56,0.27,2.1,1.43,0.4
PPID,689,0.51,0.24,2.1,1.43,0.4
BAX,764,-0.34,0.16,-2.1,1.43,0.4
ASH2L,984,0.31,0.15,2.1,1.43,0.4
DGKG,146,-0.7,0.34,-2.1,1.43,0.4
CLCN7,963,-0.78,0.37,-2.1,1.43,0.4
IFT20,348,-0.55,0.27,-2.1,1.43,0.4
CTSL,415,-0.47,0.22,-2.1,1.43,0.4
SLC12A9,695,-0.81,0.39,-2.1,1.43,0.4
H2AC25,69,0.63,0.3,2.1,1.43,0.4
JPT2,604,0.49,0.23,2.1,1.43,0.4
RPL5,33120,0.35,0.17,2.1,1.42,0.4
SYMPK,725,-0.54,0.26,-2.1,1.42,0.4
TLR2,2683,-0.77,0.37,-2.1,1.42,0.4
NXF1,1390,-0.85,0.41,-2.1,1.42,0.4
LINC01003,138,-0.75,0.36,-2.1,1.42,0.4
NADK,2551,-0.55,0.26,-2.1,1.42,0.4
AHNAK,26073,-0.37,0.18,-2.1,1.42,0.4
CLEC1B,156,-0.97,0.47,-2.1,1.42,0.4
TKT,9147,-0.56,0.27,-2.1,1.42,0.4
JADE2,2235,0.66,0.32,2.1,1.42,0.39
PDE8A,269,-0.64,0.31,-2.1,1.42,0.39
IRAK3,1981,-0.69,0.33,-2.1,1.41,0.39
ACSBG1,168,-0.89,0.43,-2.1,1.42,0.39
GOSR1,693,0.45,0.22,2.1,1.41,0.39
C12orf57,1056,0.64,0.31,2.1,1.41,0.39
MED23,737,-0.33,0.16,-2.1,1.41,0.39
CCT4,2984,0.34,0.16,2.1,1.41,0.39
TTF2,215,-0.55,0.27,-2.1,1.41,0.39
PIGC,610,0.37,0.18,2.1,1.41,0.39
COX17,350,-0.41,0.2,-2.1,1.42,0.39
FCMR,4350,0.98,0.48,2.1,1.41,0.39
WDR43,852,0.35,0.17,2.1,1.42,0.39
DAGLB,395,-0.48,0.23,-2.1,1.42,0.39
CTSB,10192,-0.52,0.25,-2.1,1.41,0.39
FAM131A,184,-0.52,0.25,-2.1,1.42,0.39
TRIM61,60,1.09,0.53,2.1,1.41,0.39
PRR5,254,0.64,0.31,2.1,1.41,0.39
NHLRC3,494,-0.63,0.31,-2.1,1.41,0.39
ZNF420,215,0.63,0.3,2.1,1.42,0.39
TPM2,114,-1.35,0.65,-2.1,1.41,0.39
LINC01550,141,0.85,0.41,2.1,1.41,0.39
C2orf74.AS1,124,-0.64,0.31,-2.1,1.41,0.39
SUCLG2,1668,0.29,0.14,2.1,1.41,0.39
WDR55,525,-0.36,0.17,-2.1,1.41,0.39
ZYX,4069,-0.42,0.2,-2.1,1.41,0.39
TICAM2,419,-0.69,0.34,-2.1,1.41,0.39
TMEM276.ZFTRAF1,83,-1.71,0.83,-2.1,1.41,0.39
ANKHD1,1593,-0.39,0.19,-2.1,1.41,0.39
FLVCR2,321,-0.47,0.23,-2.1,1.4,0.39
IRF9,902,-0.6,0.29,-2.1,1.4,0.39
KDELR1,1284,-0.39,0.19,-2.1,1.4,0.39
TCIRG1,1586,-1.06,0.51,-2.1,1.4,0.39
VPS29,1457,-0.47,0.23,-2.1,1.4,0.39
COLGALT1,1765,-0.57,0.28,-2.1,1.4,0.39
ZNF557,105,-0.65,0.32,-2.1,1.4,0.39
MMACHC,205,-1.32,0.64,-2.1,1.4,0.39
C2CD2,133,-0.68,0.33,-2.1,1.4,0.39
MAD1L1,448,0.68,0.33,2.1,1.4,0.39
FAAH,79,-1.11,0.54,-2.1,1.4,0.39
STK17A,2270,0.67,0.33,2.1,1.4,0.39
SERTAD3,272,-0.67,0.33,-2.1,1.4,0.39
SNUPN,340,0.31,0.15,2.1,1.4,0.39
MGST1,603,-0.79,0.38,-2.1,1.4,0.39
FKBP15,1594,-0.52,0.25,-2.1,1.39,0.39
RABGEF1,525,0.38,0.18,2.1,1.4,0.39
BPNT1,386,0.38,0.18,2.1,1.4,0.39
SPINT1,312,-0.62,0.3,-2.1,1.4,0.39
AFMID,81,-0.71,0.34,-2.1,1.39,0.39
IGHV3.21,111,1.26,0.62,2.1,1.39,0.39
PLXND1,1023,-0.61,0.3,-2,1.39,0.39
SEPTIN7,5808,0.45,0.22,2,1.39,0.39
NFE2L3,422,-0.71,0.35,-2,1.38,0.39
FAM50A,757,-0.38,0.19,-2,1.39,0.39
AHSA1,1216,0.42,0.2,2,1.39,0.39
PHKB,1433,-0.29,0.14,-2,1.39,0.39
TBC1D9,1031,-0.34,0.17,-2,1.39,0.39
MRPS27,907,0.37,0.18,2,1.39,0.39
RARS1,640,-0.3,0.15,-2,1.38,0.39
FAM162A,432,0.39,0.19,2,1.39,0.39
DARS1,1531,0.4,0.2,2,1.39,0.39
DOCK7,160,-0.58,0.28,-2,1.38,0.39
SINHCAF,1509,0.48,0.24,2,1.39,0.39
KIAA0319L,788,-0.59,0.29,-2,1.39,0.39
RAB13,158,-0.85,0.42,-2,1.39,0.39
RILPL2,1397,-0.47,0.23,-2,1.38,0.39
CLCN5,228,-0.68,0.33,-2,1.38,0.39
ZNF48,148,0.56,0.28,2,1.38,0.39
TRAPPC5,474,-0.62,0.3,-2,1.39,0.39
ZFP1,266,0.59,0.29,2,1.38,0.39
SNHG5,4414,-0.96,0.47,-2,1.39,0.39
AIF1,6933,-0.57,0.28,-2,1.39,0.39
HEXIM2.AS1,223,-0.71,0.35,-2,1.38,0.39
RPS3AP6,400,0.42,0.21,2,1.39,0.39
IGKV1.5,310,1.27,0.62,2,1.38,0.39
MYG1.AS1,146,-2.17,1.06,-2,1.38,0.39
EEF1A1P6,326,0.43,0.21,2,1.38,0.39
ST13,5132,0.49,0.24,2,1.38,0.39
TST,194,-0.73,0.36,-2,1.38,0.39
GNG5,1198,-0.45,0.22,-2,1.38,0.39
ZNF10,109,0.81,0.4,2,1.38,0.39
PITRM1,732,-0.33,0.16,-2,1.37,0.39
ATP6V0B,1899,-0.59,0.29,-2,1.37,0.39
HYCC1,687,0.45,0.22,2,1.37,0.39
VCF1,900,0.31,0.15,2,1.37,0.39
C1orf162,2745,-0.45,0.22,-2,1.37,0.39
CCR1,1981,-0.66,0.32,-2,1.38,0.39
GABARAP,8443,-0.48,0.24,-2,1.37,0.39
PDGFD,262,1.35,0.67,2,1.38,0.39
ISG15,424,-0.81,0.4,-2,1.38,0.39
MT.ND5,328754,-1.62,0.8,-2,1.37,0.39
ZSWIM8,528,-0.83,0.41,-2,1.38,0.39
AHSA2P.1,904,-1.15,0.57,-2,1.37,0.39
TRABD.AS1,114,-1.35,0.66,-2,1.37,0.39
ANKS6,95,0.98,0.48,2,1.37,0.39
SMARCE1,2951,0.32,0.16,2,1.37,0.39
CERS4,252,0.5,0.25,2,1.37,0.39
SFXN3,620,-0.56,0.27,-2,1.37,0.39
NECTIN1,153,-0.57,0.28,-2,1.37,0.38
TBXAS1,2116,-0.5,0.25,-2,1.37,0.38
UBR4,1488,-0.64,0.32,-2,1.37,0.38
SLC49A4,179,-0.72,0.36,-2,1.37,0.38
THNSL1,140,0.91,0.45,2,1.37,0.38
TGIF2,523,0.27,0.14,2,1.37,0.38
MAGEH1,295,0.57,0.28,2,1.37,0.38
ZNF658,88,0.66,0.33,2,1.37,0.38
TUBB6,268,-0.91,0.45,-2,1.36,0.38
TOMM20,3420,0.24,0.12,2,1.36,0.38
SEC62,2855,0.42,0.21,2,1.36,0.38
STRADB,404,0.28,0.14,2,1.36,0.38
HOOK1,188,0.95,0.47,2,1.36,0.38
MAN2A2,1046,-0.88,0.44,-2,1.36,0.38
FAM161B,154,-0.73,0.36,-2,1.36,0.38
ARSD,512,-0.41,0.2,-2,1.36,0.38
MLXIP,1213,-0.54,0.27,-2,1.36,0.38
TRBV14,77,1.1,0.55,2,1.36,0.38
KANSL1L,162,-0.46,0.23,-2,1.36,0.38
TRBV19,324,1.12,0.56,2,1.36,0.38
SLC12A4,279,-0.89,0.44,-2,1.36,0.38
MAST2,141,-0.61,0.3,-2,1.35,0.38
PEBP1,1974,0.31,0.15,2,1.35,0.38
SDCBP,7108,-0.41,0.2,-2,1.35,0.38
RPS3,48893,0.39,0.19,2,1.35,0.38
PTAFR,2320,-0.69,0.34,-2,1.35,0.38
PTCH1,321,0.88,0.44,2,1.36,0.38
