symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TIMM9,652,0.39,0.11,3.4,3.25,1.92
TMEM42,155,0.43,0.13,3.4,3.25,1.92
FDX1,723,0.37,0.11,3.4,3.24,1.92
MFF,1068,0.2,0.06,3.4,3.24,1.91
SUCLG1,1323,0.33,0.1,3.4,3.23,1.91
PPM1L,487,-0.51,0.15,-3.4,3.23,1.91
PSMD14,847,0.38,0.11,3.4,3.23,1.9
DNM1L,976,-0.36,0.1,-3.4,3.23,1.9
TMEM223,203,0.47,0.14,3.4,3.22,1.9
HPRT1,813,0.34,0.1,3.4,3.21,1.89
CYTH4,1942,-0.39,0.12,-3.4,3.21,1.89
JTB,1985,0.29,0.08,3.4,3.21,1.89
ANKRD50,267,-0.77,0.22,-3.4,3.21,1.89
UQCRFS1,1520,0.3,0.09,3.4,3.21,1.89
UICLM,53,-2.5,0.73,-3.4,3.21,1.89
