symbol,baseMean,log2_FoldChange,lfcSE,stat,minus_log10_pvalue,minus_log10_padjvalue
ECHS1,910,0.035,0.2,0.2,0.08,0.04
ECI1,288,0.143,0.2,0.8,0.35,0.18
ECPAS,1120,-0.269,0.2,-1.5,0.84,0.43
ECSIT,389,-0.07,0.2,-0.4,0.17,0.08
EDC4,597,-0.422,0.2,-2,1.33,0.67
EDEM1,2228,0.182,0.2,1.1,0.55,0.28
EDEM3,1135,-0.365,0.2,-1.5,0.9,0.46
EEA1,464,-0.696,0.2,-3,2.56,1.23
EED,408,0.139,0.2,0.8,0.36,0.18
EEF1A1,556802,0.384,0.2,2.3,1.65,0.83
EEF1AKMT1,66,0.601,0.2,2.8,2.29,1.12
EEF1AKMT2,325,0.149,0.2,0.9,0.4,0.2
EEF1B2,20877,0.565,0.2,2.9,2.42,1.18
EEF1B2P3,69,0.447,0.2,2,1.34,0.68
EEF1D,11205,0.485,0.2,3.2,2.82,1.35
EEF1E1,348,0.254,0.2,1.3,0.69,0.35
EEF1G,50630,0.38,0.2,2.2,1.55,0.78
EEF2,42059,0.046,0.2,0.3,0.11,0.05
EEF2K,252,-0.084,0.2,-0.5,0.19,0.09
EEF2KMT,173,0.372,0.2,1.9,1.21,0.62
EEIG2,761,-0.192,0.2,-1,0.52,0.26
EFHD2,5917,-0.245,0.2,-1.1,0.6,0.3
EFNA4,75,0.212,0.2,1.1,0.58,0.29
EFNB1,214,-0.006,0.2,0,0.01,0
EFR3A,2077,0.101,0.2,0.7,0.3,0.15
EFTUD2,1778,-0.184,0.2,-1.2,0.66,0.34
EGLN1,1436,0.195,0.2,1.3,0.68,0.35
EGLN2,1203,0.00E+00,0.2,0,0,0
EHD1,3073,0.359,0.2,1.7,1.05,0.54
EHMT1,539,-0.222,0.2,-1,0.51,0.26
EID2,413,0.103,0.2,0.6,0.28,0.14
EID2B,68,0.508,0.2,2.3,1.69,0.85
EIF1,13466,-0.082,0.2,-0.4,0.18,0.09
EIF1B,848,-0.134,0.2,-0.7,0.31,0.15
EIF2AK1,2543,-0.133,0.2,-0.7,0.31,0.15
EIF2AK3,579,0.358,0.2,1.9,1.25,0.63
EIF2B2,329,0.36,0.2,2,1.31,0.67
EIF2B3,256,0.252,0.2,1.5,0.86,0.44
EIF2B4,340,-0.274,0.2,-1.6,0.94,0.48
EIF2S1,1713,0.073,0.2,0.3,0.13,0.06
EIF2S3,7861,0.07,0.2,0.4,0.15,0.07
EIF3J,1394,0.167,0.2,1,0.52,0.26
EIF3J.DT,218,0.125,0.2,0.7,0.31,0.15
EIF3L,11366,0.059,0.2,0.3,0.12,0.06
EIF3M,4070,-0.069,0.2,-0.5,0.19,0.09
EIF4A1,10251,-0.213,0.2,-1.2,0.62,0.31
EIF4A3,1268,0.028,0.2,0.1,0.05,0.02
EIF4B,19177,0.317,0.2,1.6,0.96,0.49
EIF4E,1213,0.415,0.2,2.1,1.41,0.71
EIF4E2,2153,-0.069,0.2,-0.4,0.16,0.08
EIF4E3,2604,-0.128,0.2,-0.6,0.28,0.14
EIF4ENIF1,407,-0.034,0.2,-0.2,0.06,0.03
EIF4G3,637,-0.382,0.2,-2,1.35,0.69
EIF6,1091,0.183,0.2,1.2,0.64,0.33
EIPR1,337,0.286,0.2,1.7,1.09,0.56
ELAC1,197,0.436,0.2,1.9,1.29,0.65
ELF1,4432,0.244,0.2,1.3,0.75,0.38
ELK3,1658,-0.257,0.2,-1.4,0.77,0.4
ELK4,1977,0.317,0.2,1.7,1.07,0.55
ELMOD3,181,-0.683,0.2,-2.8,2.23,1.09
ELOB,1470,0.025,0.2,0.1,0.05,0.02
ELOVL1,1102,-0.102,0.2,-0.7,0.3,0.15
ELP1,784,-0.065,0.2,-0.4,0.17,0.08
ELP3,909,0.313,0.2,1.6,0.95,0.49
ELP5,422,0.088,0.2,0.5,0.19,0.09
ELP6,277,0.352,0.2,1.8,1.15,0.58
EMB,4818,0.287,0.2,1.4,0.77,0.4
EMC2,334,0.188,0.2,0.8,0.36,0.18
EMC3,1130,0.007,0.2,0,0.01,0
EMC6,223,-0.074,0.2,-0.5,0.2,0.09
EMG1,737,0.51,0.2,3.1,2.7,1.29
EML2,321,-0.261,0.2,-1.3,0.69,0.35
EML3,971,-0.706,0.2,-2.8,2.33,1.14
EML4,1579,-0.005,0.2,0,0.01,0
EMP3,4099,0.131,0.2,0.7,0.31,0.16
EMSY,336,-0.05,0.2,-0.2,0.09,0.04
ENDOG,113,0.083,0.2,0.4,0.16,0.08
