symbol,baseMean,log2_FoldChange,lfcSE,stat,minus_log10_pvalue,minus_log10_padjvalue
FAM200C,17,0.39,0.5,0.8,0.39,0.2
FAM20C,175,-0.181,0.5,-0.4,0.16,0.08
FAM229B,22,0.767,0.5,1.6,0.95,0.49
FAM72A,25,-0.612,0.5,-1.3,0.7,0.36
FAM72D,21,-0.756,0.5,-1.4,0.83,0.42
FAM86EP.1,15,0.515,0.5,1,0.52,0.26
FAM88B,30,-0.429,0.5,-0.9,0.46,0.23
FANCB,33,-0.01,0.5,0,0.01,0
FAR2P2.1,14,0.491,0.5,1,0.5,0.25
FASLG,166,0.471,0.5,1,0.49,0.25
FAUP4.1,26,0.754,0.5,1.7,1,0.51
FBLN7,47,0.384,0.5,0.7,0.34,0.17
FBN2,308,-0.817,0.5,-1.7,1.05,0.54
FCER1A,1498,0.067,0.5,0.1,0.05,0.02
FCER2,350,1.186,0.5,2.6,2.07,1.02
FCGR1BP.1,192,-0.548,0.5,-1.2,0.64,0.32
FCGR2A,2411,-0.876,0.5,-1.8,1.15,0.58
FCGR2B,504,0.34,0.5,0.7,0.29,0.15
FCHSD1,400,-1.108,0.5,-2.3,1.69,0.85
FCRL6,548,1.291,0.5,2.6,2.02,1
FFAR4,16,-0.488,0.5,-1,0.47,0.24
FGF7P3.1,33,1.045,0.5,2,1.36,0.69
FGF9,15,0.867,0.5,1.9,1.19,0.61
FHIP1A,17,-1.317,0.5,-2.7,2.14,1.05
FHIP2B,247,-1.168,0.5,-2.2,1.58,0.8
FILIP1L,18,0.359,0.5,0.7,0.32,0.16
FKBP14.AS1,14,-0.536,0.5,-1,0.48,0.25
FKBP1C,21,0.204,0.5,0.4,0.18,0.09
FKBP9,65,-0.357,0.5,-0.7,0.29,0.14
FLT3,319,-0.549,0.5,-1.2,0.62,0.32
FOXD2,10,1.133,0.5,2.3,1.7,0.85
FOXO3B,40,-0.072,0.5,-0.2,0.06,0.02
FPR1,3289,-0.502,0.5,-1.1,0.54,0.27
FPR2,655,0.128,0.5,0.2,0.09,0.04
FPR3,187,0.663,0.5,1.4,0.76,0.39
FSCN1,106,-0.727,0.5,-1.6,0.93,0.48
FTCDNL1,54,-0.238,0.5,-0.5,0.19,0.09
FTH1P10,14,-0.397,0.5,-0.8,0.34,0.17
FTH1P11,10,-0.073,0.5,-0.1,0.05,0.02
FTH1P8,13,-0.454,0.5,-1,0.48,0.24
FXYD1,16,0.528,0.5,1,0.52,0.26
FXYD2,22,0.93,0.5,1.8,1.14,0.58
FXYD6,154,-0.378,0.5,-0.8,0.39,0.2
GAREM2,21,0.391,0.5,0.8,0.38,0.19
GARS1.DT,293,-1.635,0.5,-3,2.54,1.23
GAS2L1,222,-1.142,0.5,-2.5,1.91,0.95
GASK1B.AS1,55,-1.41,0.5,-3.1,2.72,1.3
GATA2,46,-0.497,0.5,-1,0.48,0.24
GATM,121,0.925,0.5,2,1.33,0.67
GCSAML,25,-0.226,0.5,-0.4,0.18,0.09
GDF7,25,1.258,0.5,2.7,2.19,1.07
GHRL,28,-0.253,0.5,-0.5,0.23,0.11
GINS1,48,1.32,0.5,2.4,1.81,0.91
GINS4,51,0.737,0.5,1.4,0.83,0.42
GLB1L3,42,0.886,0.5,1.8,1.11,0.57
GLT8D2,8,-0.073,0.5,-0.1,0.05,0.02
GLYATL1.AS1,67,-0.287,0.5,-0.5,0.23,0.11
GMNN,115,0.793,0.5,1.7,1.02,0.52
GMPR,182,-0.843,0.5,-1.6,0.92,0.47
GNA11,68,0.157,0.5,0.3,0.13,0.06
GNG3,16,0.546,0.5,1.1,0.56,0.28
GOLGA4.AS1,8,-0.738,0.5,-1.5,0.89,0.46
GPR146,43,-0.132,0.5,-0.3,0.1,0.05
GPR150,11,0.887,0.5,1.8,1.16,0.59
GPR153,26,0.541,0.5,1,0.51,0.26
GPR18,251,0.946,0.5,2,1.36,0.69
GPRASP3,32,0.564,0.5,1.1,0.57,0.29
GPX1P1,14,-0.934,0.5,-1.7,1.09,0.56
GREM2,28,-0.006,0.5,0,0,0
GSDMB,94,-1.049,0.5,-2,1.32,0.67
GSTM2,131,-1.27,0.5,-2.8,2.27,1.11
GTF3C2.AS2,50,-0.6,0.5,-1.3,0.73,0.37
GUCY1A1,178,-0.908,0.5,-1.9,1.2,0.61
GZMK,1536,0.88,0.5,1.7,1.01,0.52
H2AC20,11,-0.069,0.5,-0.1,0.05,0.02
H2BC21,645,-0.533,0.5,-1,0.49,0.25
H2BC5,97,0.738,0.5,1.4,0.81,0.41
H4C14,147,1.35,0.5,2.8,2.28,1.11
HACD1,17,-0.82,0.5,-1.7,1.09,0.56
HAGHL,39,0.126,0.5,0.3,0.1,0.05
HAL,223,-1.773,0.5,-3.6,3.5,1.66
HAVCR1,22,-0.819,0.5,-1.6,0.98,0.5
HDAC9,686,-0.355,0.5,-0.8,0.36,0.18
HEATR5A.DT,79,-0.411,0.5,-0.9,0.42,0.21
HECTD2,19,0.503,0.5,1,0.5,0.26
HECW2.AS1,71,0.121,0.5,0.2,0.09,0.04
HEMGN,153,-0.717,0.5,-1.6,0.93,0.48
HEXA.AS1,20,0.411,0.5,0.8,0.36,0.18
HGF,164,-1.129,0.5,-2.5,1.85,0.92
HIP1R,244,0.018,0.5,0,0.01,0.01
HLA.DOB,417,1.503,0.5,3,2.6,1.24
HLA.DQA1,3974,1.068,0.5,2.1,1.44,0.73
HLA.DQB1,5144,0.589,0.5,1.1,0.58,0.29
HLA.G,25,-0.124,0.5,-0.2,0.09,0.04
HMGB3,121,0.616,0.5,1.3,0.75,0.38
HMGN3.AS1,12,-0.433,0.5,-0.8,0.39,0.2
HNRNPKP4,6,0.046,0.5,0.1,0.03,0.01
HNRNPLP2,9,0.423,0.5,0.8,0.4,0.2
HOMER1,54,0.29,0.5,0.6,0.24,0.12
HOMER2,119,-0.94,0.5,-1.8,1.1,0.56
HOTAIRM1,71,-0.581,0.5,-1.2,0.65,0.33
HOXC4,42,1.522,0.5,3.2,2.8,1.34
HPCAL4,144,0.156,0.5,0.3,0.14,0.06
HSD17B13,7,-1.293,0.5,-2.5,1.9,0.94
HSD3B7,13,-0.194,0.5,-0.4,0.15,0.07
HSH2D.AS1,139,0.671,0.5,1.4,0.81,0.41
HSPG2,26,0.409,0.5,0.9,0.4,0.2
IATPR,130,0.371,0.5,0.7,0.32,0.16
ICAM4.AS1,52,-0.798,0.5,-1.7,1.02,0.53
ID3,96,0.787,0.5,1.7,1.07,0.55
IDO1,56,0.069,0.5,0.1,0.05,0.02
IER3,133,-0.605,0.5,-1.3,0.74,0.38
IER3.AS1,79,-0.676,0.5,-1.3,0.73,0.38
IFI44,1101,-0.564,0.5,-1,0.52,0.26
IFITM3.AS1,66,0.34,0.5,0.7,0.33,0.16
IFNG,35,2.093,0.5,4.5,5.22,2.62
IGF2BP3,39,-0.741,0.5,-1.6,0.95,0.49
IGHD,1462,2.152,0.5,4.3,4.86,2.42
IGHM,7589,1.549,0.5,2.9,2.5,1.21
IGHV1.69D,77,1.119,0.5,2.4,1.82,0.91
IGHV3.15,102,1.652,0.5,3.1,2.74,1.31
IGHV3.23,451,1.658,0.5,3.2,2.83,1.35
IGHV3.30,367,2.582,0.5,4.9,5.97,3.11
IGHV3.7,134,1.637,0.5,3.1,2.76,1.32
IGKC,14565,2.388,0.5,4.3,4.85,2.42
IGKV2.28,170,2.237,0.5,4.3,4.76,2.38
IGKV3.11,544,1.891,0.5,3.7,3.67,1.74
IL12RB2,100,0.118,0.5,0.2,0.08,0.04
IL18RAP,214,-0.726,0.5,-1.5,0.87,0.45
IL1B,299,-0.447,0.5,-0.9,0.42,0.21
IL1R2,41,-0.206,0.5,-0.5,0.19,0.09
IL23A,59,0.262,0.5,0.5,0.23,0.11
IL2RB,2137,0.09,0.5,0.2,0.07,0.03
IQCD,16,-0.479,0.5,-0.9,0.42,0.21
IQCH.AS1,71,0.313,0.5,0.7,0.31,0.15
IQCN,36,-0.694,0.5,-1.3,0.72,0.37
IRF6,16,0.742,0.5,1.5,0.83,0.43
ITPKB.IT1,17,0.144,0.5,0.3,0.11,0.05
ITPRIPL2.AS1,117,-0.476,0.5,-0.9,0.47,0.24
ITSN1,144,-0.523,0.5,-1.2,0.61,0.31
JAG1,77,-1.634,0.5,-3.1,2.77,1.32
JSRP1,13,0.892,0.5,1.7,1.01,0.52
KANK2,19,-0.103,0.5,-0.2,0.07,0.03
KANTR,56,-1.136,0.5,-2.3,1.69,0.85
KATNAL2,15,-0.309,0.5,-0.6,0.25,0.12
KBTBD6.DT,21,0.158,0.5,0.3,0.14,0.06
KCNA2,31,0.051,0.5,0.1,0.04,0.02
KCNC3,90,-1.351,0.5,-3,2.54,1.22
KCNE1,28,-1.199,0.5,-2.5,1.9,0.94
KCNIP2,21,-0.265,0.5,-0.5,0.21,0.1
KCNJ15,70,-0.638,0.5,-1.3,0.7,0.36
KCNK13,49,-0.427,0.5,-0.9,0.44,0.22
KCNK15.AS1,20,0.471,0.5,0.9,0.42,0.21
KDSR.DT,15,-0.249,0.5,-0.5,0.23,0.11
KIAA0408,23,-0.098,0.5,-0.2,0.07,0.03
KIF13A,407,-1.036,0.5,-2.3,1.63,0.82
KIF14,11,0.004,0.5,0,0,0
KIF18A,30,0.679,0.5,1.3,0.69,0.35
KIF27,52,-0.936,0.5,-1.9,1.22,0.62
KIFC3,56,-1.414,0.5,-3.1,2.68,1.28
KLF4,1569,-0.74,0.5,-1.6,0.93,0.48
KLF5,54,0.51,0.5,1.1,0.59,0.3
KLHL23,32,0.961,0.5,1.9,1.23,0.62
KLHL33,14,-0.299,0.5,-0.6,0.25,0.12
KLRC1,256,0.529,0.5,1,0.47,0.24
KLRF1,830,0.11,0.5,0.2,0.09,0.04
KMT5C,52,-0.665,0.5,-1.4,0.78,0.4
KRTCAP3,9,-0.427,0.5,-0.8,0.4,0.2
KYAT1,78,0.39,0.5,0.7,0.34,0.17
L3HYPDH,63,-0.877,0.5,-1.6,0.98,0.5
L3MBTL2.AS1,24,-0.248,0.5,-0.5,0.2,0.09
L3MBTL4,27,-0.5,0.5,-1,0.49,0.25
LAMB2,72,-0.969,0.5,-1.8,1.12,0.57
LANCL3,28,-0.339,0.5,-0.7,0.33,0.16
LARGE1,54,1.185,0.5,2.4,1.8,0.9
LARGE2,36,0.274,0.5,0.6,0.26,0.13
LAYN,16,0.186,0.5,0.3,0.13,0.06
LCN10,91,1.457,0.5,3.1,2.67,1.28
LDHD,19,-0.585,0.5,-1.1,0.57,0.29
LEF1.AS1,47,0.353,0.5,0.7,0.3,0.15
LENG8,1428,-1.441,0.5,-2.7,2.09,1.02
LILRA4,245,-0.004,0.5,0,0,0
LIN7A,216,-1.071,0.5,-2.1,1.42,0.72
LIN7B,14,-0.628,0.5,-1.3,0.71,0.36
LINC00092,18,0.466,0.5,1,0.5,0.25
LINC00173,18,-1.626,0.5,-3.1,2.72,1.3
LINC00239,14,0.434,0.5,0.9,0.45,0.23
LINC00243,50,-0.03,0.5,-0.1,0.02,0.01
LINC00426,102,0.467,0.5,1,0.51,0.26
LINC00540,14,0.311,0.5,0.6,0.25,0.12
LINC00630,19,0.666,0.5,1.3,0.74,0.38
LINC00641,138,-0.925,0.5,-1.9,1.21,0.61
LINC00654,25,0.095,0.5,0.2,0.07,0.03
LINC00892,58,-0.098,0.5,-0.2,0.08,0.04
LINC00899,25,-0.061,0.5,-0.1,0.05,0.02
LINC00926,315,0.666,0.5,1.3,0.7,0.36
LINC01002,62,-2.96,0.5,-5.5,7.54,4.36
LINC01012,11,0.226,0.5,0.4,0.17,0.08
LINC01303,16,-1.481,0.5,-2.8,2.28,1.11
LINC01353,10,0.316,0.5,0.7,0.31,0.15
LINC01376,8,0.055,0.5,0.1,0.04,0.02
LINC01410,106,-0.072,0.5,-0.1,0.05,0.02
LINC01503,73,-0.011,0.5,0,0.01,0
LINC01506,49,-0.063,0.5,-0.1,0.04,0.02
LINC01619,63,-0.554,0.5,-1.1,0.54,0.27
LINC01637,13,-0.921,0.5,-1.8,1.12,0.57
LINC01684,19,0.318,0.5,0.6,0.28,0.14
LINC01765,9,0.038,0.5,0.1,0.02,0.01
LINC01766,18,-1.211,0.5,-2.4,1.83,0.91
LINC01781,112,1.886,0.5,3.7,3.65,1.73
LINC01882,27,0.596,0.5,1.2,0.61,0.31
LINC01948,29,-1.825,0.5,-4,4.13,1.98
LINC02018,13,-0.237,0.5,-0.5,0.2,0.09
LINC02035,196,-1.125,0.5,-2.5,1.88,0.94
LINC02202,37,0.105,0.5,0.2,0.08,0.03
LINC02207,31,-0.573,0.5,-1.1,0.57,0.29
LINC02226,11,-0.133,0.5,-0.3,0.1,0.05
LINC02295,86,0.722,0.5,1.4,0.82,0.42
LINC02352,17,0.217,0.5,0.4,0.17,0.08
LINC02449,22,-0.749,0.5,-1.5,0.85,0.43
LINC02453,20,0.808,0.5,1.6,0.99,0.51
LINC02723,133,-0.468,0.5,-1,0.48,0.24
LINC02762,48,-0.253,0.5,-0.5,0.2,0.1
LINC02870,9,0.228,0.5,0.4,0.18,0.08
LINC02915,38,-0.019,0.5,0,0.01,0.01
LINC02975,84,-0.713,0.5,-1.3,0.72,0.37
LINC02976,11,-0.643,0.5,-1.3,0.74,0.38
LINC02986,12,-0.298,0.5,-0.6,0.28,0.14
LINC02988,21,-0.857,0.5,-1.7,1.05,0.54
LINC03009,47,-0.004,0.5,0,0,0
LINC03072,42,-0.244,0.5,-0.5,0.2,0.09
LINC03124,57,0.359,0.5,0.7,0.32,0.16
LIPE,68,-0.127,0.5,-0.2,0.09,0.04
LIPN,171,-0.462,0.5,-1,0.48,0.24
LMNA,675,-0.162,0.5,-0.3,0.13,0.06
LMTK3,49,0.291,0.5,0.6,0.26,0.13
LNP1,18,0.878,0.5,1.9,1.26,0.64
LOXL2,22,0.111,0.5,0.2,0.09,0.04
LPAR1,94,-0.652,0.5,-1.3,0.69,0.35
LRFN3,127,0.836,0.5,1.8,1.17,0.6
LRRC32.AS1,367,0.216,0.5,0.4,0.17,0.08
LRRC34,30,-1.035,0.5,-2.3,1.66,0.83
LRRC37A2,231,-0.623,0.5,-1.2,0.63,0.32
LRRK2.DT,41,-0.698,0.5,-1.5,0.89,0.46
LTB4R2,43,-1.196,0.5,-2.3,1.7,0.85
LY86.AS1,28,0.073,0.5,0.1,0.05,0.02
LYNX1,59,-1.412,0.5,-2.9,2.47,1.2
LZTS3,23,-0.095,0.5,-0.2,0.08,0.03
M1AP,11,-1.31,0.5,-2.6,2,0.99
MACC1,22,0.728,0.5,1.4,0.81,0.41
MACROD1,28,0.434,0.5,0.9,0.43,0.22
MACROD2,63,1.068,0.5,2,1.34,0.68
MAGI2,9,0.396,0.5,0.7,0.34,0.17
MAILR,27,-0.343,0.5,-0.7,0.33,0.17
MAK,22,-1.358,0.5,-3,2.56,1.23
MAL.AS1,45,0.299,0.5,0.6,0.25,0.12
MALAT1,2532,-1.365,0.5,-2.9,2.5,1.21
MAN2C1,739,-1.571,0.5,-2.9,2.47,1.2
MAP1A,102,-1.153,0.5,-2.4,1.83,0.91
MAP3K15,14,0.167,0.5,0.3,0.12,0.06
MAP7,60,-0.015,0.5,0,0.01,0.01
MAPK11,25,0.536,0.5,1.1,0.55,0.28
MARCHF3,49,1.491,0.5,2.9,2.4,1.17
MARCHF6.DT,16,0.388,0.5,0.8,0.36,0.18
MARCO,393,-1.686,0.5,-3.4,3.12,1.47
MATCAP2,9,-0.311,0.5,-0.6,0.28,0.14
MCC,51,0.757,0.5,1.4,0.79,0.41
MCEMP1,446,-0.819,0.5,-1.7,1.08,0.55
MCF2L2,39,-1.707,0.5,-3.4,3.23,1.52
MCM3AP.AS1,104,-1.06,0.5,-2.1,1.49,0.76
MCM4,327,1.187,0.5,2.4,1.84,0.92
MDS2,24,-0.196,0.5,-0.4,0.15,0.07
ME1,57,-1.213,0.5,-2.6,2.01,1
MED14OS,28,0.207,0.5,0.4,0.16,0.07
MED8.AS1,11,-0.771,0.5,-1.5,0.91,0.47
MEGF6,168,-1.53,0.5,-3.1,2.67,1.28
MEX3B,15,-1.058,0.5,-2.3,1.63,0.82
MFSD4A,26,0.911,0.5,1.7,1.06,0.54
MGAT3,47,1.501,0.5,2.8,2.35,1.14
MGLL,302,-0.853,0.5,-1.8,1.1,0.56
MIA2.AS1,14,-0.36,0.5,-0.8,0.36,0.18
MICAL3,137,0.43,0.5,0.9,0.42,0.21
MIDEAS.AS1,30,0.651,0.5,1.2,0.66,0.34
MIF4GD.DT,16,0.641,0.5,1.2,0.66,0.34
MIR22HG,188,-1.148,0.5,-2.5,1.94,0.96
MIR4453HG,35,-0.436,0.5,-1,0.47,0.24
MIR646HG,81,-0.866,0.5,-1.8,1.14,0.58
MIRLET7IHG,23,-1.244,0.5,-2.5,1.9,0.95
MLF1,36,0.669,0.5,1.5,0.83,0.43
MLF1.DT,13,-0.08,0.5,-0.2,0.06,0.03
MMACHC,208,-0.909,0.5,-2,1.32,0.67
MMP11,20,0.46,0.5,1,0.47,0.24
MMP17,72,-1.121,0.5,-2.2,1.57,0.79
MMP19,20,-1.167,0.5,-2.4,1.84,0.92
MMP28,25,0.194,0.5,0.4,0.15,0.07
MND1,9,0.368,0.5,0.8,0.38,0.19
MOCS2.DT,31,0.428,0.5,0.9,0.46,0.23
MORN3,42,-0.016,0.5,0,0.01,0
MPO,64,-0.95,0.5,-2,1.39,0.7
MPP2,10,0.265,0.5,0.5,0.2,0.1
MPZ,29,-0.571,0.5,-1.2,0.61,0.31
MROH8,15,0.531,0.5,1.1,0.54,0.27
MS4A1,3084,1.654,0.5,3.1,2.74,1.31
MS4A14,172,-2.002,0.5,-3.8,3.87,1.84
MSC,56,1.324,0.5,2.7,2.22,1.08
MSL3B,47,0.312,0.5,0.6,0.26,0.13
MSR1,265,-0.437,0.5,-0.9,0.43,0.22
MT.CO1,1270797,-1.215,0.5,-2.7,2.16,1.06
MT.CYB,377534,-1.341,0.5,-2.9,2.4,1.17
MT.ND1,327058,-1.425,0.5,-3,2.56,1.23
MT.ND4,587984,-1.363,0.5,-2.9,2.44,1.19
MT.ND5,298579,-1.425,0.5,-3,2.52,1.21
MT.ND6,77711,-1.301,0.5,-2.7,2.15,1.05
MT.RNR1,253020,-1.182,0.5,-2.3,1.66,0.83
MT.RNR2,884340,-1.063,0.5,-2.3,1.7,0.85
MT1E,31,1.608,0.5,3,2.55,1.23
MTCO1P12,4401,-0.781,0.5,-1.5,0.9,0.46
MTCO2P12,51,-1.04,0.5,-1.9,1.27,0.64
MTCP1,19,-0.856,0.5,-1.8,1.11,0.56
MTFR2,29,0.444,0.5,0.8,0.39,0.2
MTHFD2L,150,-0.662,0.5,-1.5,0.84,0.43
MTMR8,25,0.969,0.5,2,1.39,0.7
MTND2P28,2498,-1.131,0.5,-2.3,1.62,0.82
MTURN,1492,-0.8,0.5,-1.6,0.92,0.47
MTUS1,61,0.041,0.5,0.1,0.03,0.01
MYLK.AS1,124,-0.738,0.5,-1.4,0.81,0.42
MYO5C,17,0.184,0.5,0.3,0.14,0.06
MYO7B,47,-0.837,0.5,-1.6,0.97,0.49
MYOM1,51,-0.319,0.5,-0.6,0.25,0.12
MYRF,20,0.163,0.5,0.3,0.13,0.06
NAP1L3,78,0.077,0.5,0.2,0.06,0.03
NAPSA,12,-0.523,0.5,-1,0.5,0.25
NAPSB,774,-0.524,0.5,-1,0.53,0.27
NBEAL2,1623,-1.349,0.5,-2.9,2.46,1.19
NBPF11,201,-0.878,0.5,-1.9,1.23,0.63
NBPF3,141,0.043,0.5,0.1,0.03,0.01
NBPF8,386,-0.822,0.5,-1.6,0.95,0.49
NCAM1,210,-0.513,0.5,-0.9,0.46,0.23
NCF1B,222,-0.912,0.5,-2,1.32,0.67
NCR3LG1,17,-0.713,0.5,-1.5,0.91,0.46
NDUFB2.AS1,14,0.646,0.5,1.3,0.69,0.35
NEFL,106,0.133,0.5,0.2,0.09,0.04
NEGR1,64,-0.439,0.5,-0.9,0.45,0.23
NEK11,22,1.069,0.5,2.3,1.63,0.82
NEK5,6,-0.819,0.5,-1.5,0.87,0.44
NEMP2,289,0.312,0.5,0.7,0.31,0.15
NEURL1,111,-0.711,0.5,-1.4,0.79,0.4
NFKBIZ,1010,-1.531,0.5,-2.9,2.39,1.16
NGFR,9,-0.532,0.5,-1.1,0.58,0.3
NHS,69,-1.653,0.5,-3.7,3.59,1.7
NIBAN3,281,-0.361,0.5,-0.7,0.29,0.15
NID1,530,-0.793,0.5,-1.6,0.97,0.5
NKD1,19,-0.902,0.5,-1.7,1.07,0.55
NKTR,938,-1.422,0.5,-3,2.61,1.25
NLGN2,45,-0.003,0.5,0,0,0
NLRP6,25,0.393,0.5,0.7,0.34,0.17
NME8,34,-0.204,0.5,-0.4,0.18,0.08
NMUR1,74,0.27,0.5,0.6,0.25,0.12
NOCT,13,-0.606,0.5,-1.3,0.73,0.37
NOL3,29,-0.532,0.5,-1.1,0.54,0.28
NONOP2,14,-1.232,0.5,-2.4,1.74,0.87
NOS3,55,0.288,0.5,0.6,0.27,0.13
NPIPB13,138,-1.083,0.5,-2.2,1.59,0.8
NPIPB2,15,-0.885,0.5,-1.7,1.03,0.53
NPIPB4,87,-1.411,0.5,-3.1,2.65,1.27
NPTXR,117,0.997,0.5,2.2,1.57,0.79
NR4A3,7,-0.67,0.5,-1.3,0.74,0.38
NRCAM,55,1.077,0.5,2,1.3,0.66
NRG1,269,-0.366,0.5,-0.7,0.31,0.15
NT5DC3,122,-1.228,0.5,-2.5,1.9,0.94
NTN4,20,-0.87,0.5,-1.8,1.13,0.58
NTNG2,47,-0.526,0.5,-1,0.52,0.26
NUDT19.DT,20,-0.048,0.5,-0.1,0.04,0.02
NUDT8,8,-0.334,0.5,-0.7,0.3,0.15
NUTM2B,18,-0.372,0.5,-0.7,0.31,0.15
NYNRIN,10,-0.744,0.5,-1.4,0.77,0.4
OAS3,2145,-0.681,0.5,-1.3,0.75,0.39
OASL,422,0.359,0.5,0.8,0.37,0.18
OAZ3,14,-0.15,0.5,-0.3,0.12,0.05
ODAD3,12,-0.562,0.5,-1.2,0.67,0.34
ODC1.DT,41,-0.215,0.5,-0.5,0.19,0.09
OGFRP1,33,0.391,0.5,0.8,0.34,0.17
OLFM1,79,-0.734,0.5,-1.4,0.79,0.41
OLFM2,84,0.699,0.5,1.5,0.9,0.46
OLFML2A,14,-0.093,0.5,-0.2,0.06,0.03
OLFML2B,27,-0.684,0.5,-1.3,0.68,0.34
OLIG1,132,-1.617,0.5,-3.2,2.8,1.34
ORC6,26,0.444,0.5,0.8,0.38,0.19
OS9.AS1,147,-1.388,0.5,-2.8,2.34,1.14
OSBPL10,181,1.194,0.5,2.4,1.82,0.91
OSM,51,-0.06,0.5,-0.1,0.05,0.02
OXER1,22,-0.662,0.5,-1.4,0.78,0.4
P2RY12,240,-0.026,0.5,0,0.02,0.01
P3H3,15,-0.57,0.5,-1.1,0.56,0.29
PADI2,484,-0.698,0.5,-1.4,0.79,0.41
PADI4,435,-0.775,0.5,-1.6,0.93,0.48
PAK6,17,1.503,0.5,2.9,2.39,1.16
PALM2AKAP2,1071,1.373,0.5,3,2.61,1.25
PAN2,432,-1.385,0.5,-2.7,2.13,1.04
PANK1,29,0.123,0.5,0.3,0.1,0.05
PAPLN.AS1,20,-0.247,0.5,-0.5,0.23,0.11
PARP11.AS1,92,-0.14,0.5,-0.3,0.11,0.05
PARPBP,61,0.648,0.5,1.3,0.71,0.36
PARVA,14,0.213,0.5,0.4,0.17,0.08
PASK,669,0.148,0.5,0.3,0.13,0.06
PATL2,164,0.426,0.5,0.9,0.46,0.23
PAWR,124,0.991,0.5,2,1.36,0.69
PAX5,591,1.176,0.5,2.3,1.72,0.86
PBX4,26,-0.215,0.5,-0.4,0.18,0.08
PCBP2P2,16,-0.264,0.5,-0.6,0.24,0.12
PCSK1N,19,0.594,0.5,1.1,0.56,0.29
PDCD1LG2,14,1.137,0.5,2.4,1.74,0.87
PDCD6.DT,9,-0.01,0.5,0,0.01,0
PDE1B,55,-1.386,0.5,-2.8,2.35,1.14
PDE5A,256,-0.814,0.5,-1.5,0.9,0.46
PDE8B,21,-0.793,0.5,-1.5,0.88,0.45
PDE9A,53,0.582,0.5,1.2,0.61,0.31
PDGFB,78,0.416,0.5,0.9,0.44,0.22
PDPR2P.1,83,-1.302,0.5,-2.7,2.12,1.04
PDXP,110,-0.073,0.5,-0.1,0.05,0.02
PEG10,57,1.171,0.5,2.3,1.69,0.85
PER1,436,-1.586,0.5,-3.2,2.92,1.37
PEX12,84,0.338,0.5,0.7,0.32,0.16
PGM5,25,-0.203,0.5,-0.4,0.18,0.09
PHACTR1,215,0.307,0.5,0.6,0.27,0.13
PHKA2.AS1,29,-0.895,0.5,-1.9,1.27,0.65
PHOSPHO1,23,-0.733,0.5,-1.6,0.93,0.48
PHYHD1,8,-0.17,0.5,-0.3,0.13,0.06
PIANP,9,0.002,0.5,0,0,0
PIPOX,12,0.643,0.5,1.2,0.63,0.32
PITRM1.AS1,18,-1.629,0.5,-3.3,3.01,1.41
PKD1,248,-0.351,0.5,-0.8,0.35,0.17
PKIB,70,0.496,0.5,1,0.5,0.25
PKMYT1,36,-0.277,0.5,-0.6,0.24,0.12
PKN3,21,1.072,0.5,2.2,1.58,0.8
PKP2,32,-1.2,0.5,-2.6,2.03,1.01
PLA2G7,295,-0.591,0.5,-1.1,0.58,0.29
PLBD1.AS1,91,-0.661,0.5,-1.3,0.71,0.36
PLD2,169,-1.472,0.5,-2.7,2.18,1.06
PLD4,553,-0.096,0.5,-0.2,0.08,0.04
PLEKHA7,22,-0.01,0.5,0,0.01,0
PLEKHA8P1,39,-0.449,0.5,-0.8,0.39,0.2
PLEKHG5,28,-0.165,0.5,-0.3,0.12,0.06
PLOD2,25,-0.478,0.5,-0.9,0.44,0.22
PLPP7,11,-0.986,0.5,-1.9,1.26,0.64
PLS3,22,-0.404,0.5,-0.8,0.39,0.2
PLVAP,15,-0.274,0.5,-0.5,0.22,0.11
PLXDC1,101,-1.056,0.5,-2,1.3,0.66
PMF1.BGLAP,29,0.61,0.5,1.3,0.71,0.36
PMP22,34,-0.065,0.5,-0.1,0.05,0.02
PNPLA1,25,-0.395,0.5,-0.8,0.38,0.19
PNPLA7,43,-0.928,0.5,-1.8,1.18,0.6
POC1B.AS1,29,-0.138,0.5,-0.3,0.12,0.05
PODXL,26,-0.09,0.5,-0.2,0.07,0.03
POLG.DT,6,-0.211,0.5,-0.4,0.16,0.07
POMZP3,128,-0.38,0.5,-0.8,0.37,0.19
POPDC2,21,-0.627,0.5,-1.4,0.77,0.39
PP2D1,12,-0.094,0.5,-0.2,0.06,0.03
PPFIA3,16,-0.43,0.5,-0.9,0.42,0.21
PPFIBP1,62,0.443,0.5,1,0.49,0.25
PPM1J,15,-0.676,0.5,-1.4,0.78,0.4
PPP1R12A.AS1,9,-0.358,0.5,-0.7,0.31,0.16
PPP1R13L,34,-0.063,0.5,-0.1,0.04,0.02
PPP1R14A,52,0.042,0.5,0.1,0.03,0.01
PPP1R3E,122,-0.906,0.5,-1.8,1.1,0.56
PPT2.EGFL8,42,-0.6,0.5,-1.2,0.61,0.31
PRELID2,39,-0.05,0.5,-0.1,0.04,0.02
PRICKLE1,96,0.517,0.5,1.1,0.53,0.27
PRKAR2A.AS1,22,-0.332,0.5,-0.7,0.29,0.14
PRLR,41,-1.242,0.5,-2.4,1.84,0.92
PRMT5.AS1,20,-0.383,0.5,-0.8,0.38,0.19
PROCA1,37,-0.646,0.5,-1.4,0.79,0.4
PROK2,140,0.172,0.5,0.4,0.15,0.07
PROSER2,53,-0.768,0.5,-1.7,1.02,0.52
PROX2,6,-0.979,0.5,-1.8,1.13,0.58
