Gene,baseMean,log2_FoldChange,pvalue
AARS,12.04,0.04,0.424581422
HCG4P7,5.45,-0.14,0.409299689
ALOXE3,4.39,0.24,0.457692077
SLC32A1,4.32,-0.45,0.373771294
AL731563.3,4.31,-0.25,0.393457492
AL606763.1,5.21,-0.15,0.407734623
TTC27,9.68,0.02,0.423448288
KLRF1,3.44,0.15,0.450862705
ZSCAN1,5.19,0.2,0.447157855
PPP4R3B,13.45,-0.05,0.420803651
TOMM40,10.71,0.07,0.426836986
AL139383.1,2.84,0.44,0.575358603
POLA1,10.1,0.04,0.424571139
SVIL,11.68,0.03,0.424471507
MBD4,10.75,-0.05,0.41998815
MAN2B1,10.93,0.04,0.425134166
QRICH2,7.12,0.08,0.429305039
C12orf4,9.71,-0.05,0.420100837
AL354696.2,6,-0.08,0.414559855
NR1H3,7.56,-0.13,0.413548811
NUP205,11.62,-0.02,0.42133007
METRN,9.14,-0.06,0.419325798
GNG12,12.69,-0.05,0.420393622
AL161630.1,3,-0.42,0.361364789
LINC00491,4.3,-0.17,0.400835184
ZNF107,9.35,-0.08,0.417796158
CTR9,11.56,-0.03,0.421490939
ERCC-00059,5.62,-0.15,0.408082165
FAM66B,6.19,-0.11,0.413352935
PTGFRN,12.39,0.02,0.423896957
ISOC2,9.8,0.04,0.425422852
POT1,9.47,-0.07,0.418442701
CRYL1,9.57,0.04,0.425492294
PEX14,10.69,0.05,0.425013666
NDUFC1,10.62,-0.02,0.421206757
CAMLG,9.88,-0.06,0.419190794
PCDHA10,4.9,0.12,0.43674758
FNDC10,7.53,0.1,0.430540275
NBPF8,8.54,0.05,0.426070933
KIAA0513,11.81,0.04,0.42429003
AL035409.1,4.22,0.26,0.464910961
RMI1,10.26,-0.05,0.420235566
FEM1B,12.1,-0.04,0.421069407
ELMOD2,10.9,-0.07,0.419338622
PPP1R8,10.51,0.04,0.424494533
HYPK,3.72,-0.28,0.386098589
RNPS1,11.51,0.04,0.42433349
ZFP28,8.02,0.06,0.427526164
CCNB1IP1,9.46,0.03,0.424084695
SMCO4,7.93,-0.09,0.415772629
DCST2,5.6,-0.11,0.411762519
UGT1A10,4.52,-0.22,0.397092806
DUSP7,9.7,0.05,0.426059434
CHST9,14.43,-0.06,0.420269375
LINC00884,5.55,0.22,0.448755755
F3,13.23,0.04,0.424406075
E2F4,10.05,0.06,0.426531403
KBTBD2,10.08,-0.03,0.420941415
NECAP2,10.85,-0.06,0.419142283
HLA-J,6.42,0.16,0.437951175
PDCL3,9.42,0.04,0.425124537
MT-CYB,16.01,-0.12,0.418151485
VASP,10.78,0.05,0.425354361
TMEM141,8.95,-0.07,0.417785183
SFR1,8.02,-0.07,0.417228352
HSPB11,10.6,-0.05,0.420313347
AL365203.2,5.28,-0.18,0.404945685
TBXAS1,5.1,0.15,0.440669234
TAF1B,9.69,0.04,0.425454608
NUDT1,8.39,0.05,0.426596888
LIG1,10.76,0.03,0.424628073
DCUN1D2,7.85,0.08,0.429180149
PARPBP,8.03,0.05,0.426298624
VTRNA1-3,4.37,0.23,0.458378366
THAP10,8.49,-0.04,0.420404124
