Gene,baseMean,log2_FoldChange,pvalue
CCDC47,12.26,0.03,0.424386534
AC079140.2,4.36,0.36,0.48012979
TMSB10,14.12,0.07,0.425816449
TMEM106C,10.72,-0.1,0.417013586
TRAF3,11.92,-0.05,0.420249232
GYS1,10.56,0.07,0.426161084
AC215219.1,6.82,-0.19,0.407415792
RNF103,10.34,-0.04,0.420434046
SRPRB,10.53,0.05,0.42578992
SLC13A5,3.79,-0.36,0.376823218
ZNF426,10.36,-0.07,0.418799143
CCDC136,5.65,-0.17,0.406296242
INPP4B,11.11,-0.07,0.418714846
GCOM1,3.93,0.64,0.572039968
DYNC1I2,11.91,0.03,0.424437517
MRAS,6.93,-0.14,0.411982185
AC013546.1,5.9,-0.11,0.412278809
NPIPB4,7.13,0.12,0.433285016
PTPRB,5.55,-0.18,0.405088195
HSPA2,9.61,0.06,0.426299933
LEPROTL1,10.43,-0.08,0.418652025
EDARADD,9.76,0.08,0.427461056
PREP,10.31,0.06,0.425672131
SLC39A11,10.39,0.03,0.424698818
ZBTB7C,11.88,0.04,0.424280302
AL683887.1,3.84,0.36,0.48897103
RPL26,10.73,0.16,0.431151979
DOCK10,7.12,0.17,0.437714157
CYGB,7.02,-0.15,0.411344667
PCOTH,5.06,-0.32,0.390314132
NLGN3,4.3,0.61,0.538162109
AC010422.6,6.54,0.11,0.432717353
LINC00441,4.83,0.34,0.470783845
FRRS1,10.11,-0.06,0.418889202
GEMIN4,9.88,0.09,0.428013282
CA6,4.75,0.35,0.473285398
SLC25A5-AS1,6,-0.17,0.40778089
ARHGAP35,12.85,0.03,0.424304739
YWHAG,12.64,-0.02,0.421739243
CRNKL1,10.52,0.07,0.426173898
FAM86DP,8.43,0.07,0.427522924
NOD1,7.76,0.08,0.428730938
CCT6B,8.12,-0.13,0.413242582
NDUFB1,10.58,0.03,0.424661921
TMEM132B,4.86,0.21,0.449999795
AC004492.1,3.34,-0.22,0.389159773
NBPF12,8.6,0.11,0.429778811
DNAH9,14.89,-0.04,0.421364296
HNRNPAB,12.79,0.04,0.424163678
CBLB,10.49,-0.07,0.419211101
TNRC6C-AS1,7.28,-0.14,0.411963573
AC009163.5,6.03,-0.21,0.404468471
AC004982.1,4.97,-0.34,0.388694092
CAPN12,6.57,-0.16,0.408707283
RP9P,7.4,0.21,0.439484765
C1orf35,8.73,-0.09,0.417254897
AL442663.3,3.51,0.31,0.484645955
MTCO1P12,7.98,-0.28,0.404189989
ZNF17,8.03,-0.14,0.413386702
AC073343.1,3.49,0.3,0.480763737
ATP6V0E2,8.95,0.09,0.429016273
CATSPER2,5.48,0.2,0.446141699
WDR1,13.28,0.03,0.424250979
RPLP0,15.01,0.02,0.423678518
ZNF568,8.81,-0.11,0.41605008
MKRN7P,3.01,-0.9,0.318253428
VPS37B,10.74,0.09,0.427933792
NECTIN4,11.81,0.04,0.424947638
SMIM10L2A,6.43,-0.2,0.405772375
MARCH2,9.11,0.09,0.428042632
SERPINB9P1,3.59,-0.59,0.352644378
LSM2,8.99,0.07,0.427220817
ETV4,6.55,-0.26,0.401975155
WRNIP1,11.28,0.06,0.425408119
ZXDA,7.59,0.09,0.430188761
RGMB-AS1,5.97,-0.2,0.40453981
UBC,14.41,0.03,0.423588915
DNTTIP1,10.36,-0.06,0.41971138
FANCB,6.72,-0.07,0.416199377
FOXQ1,10.43,0.08,0.426774131
NIFK,9.81,-0.11,0.416322226
LDLRAD1,12.89,-0.03,0.421313038
BTC,9.52,-0.09,0.417687549
RTN4RL2,4.61,-0.23,0.396482765
KBTBD7,9.57,-0.08,0.417509462
FAM185BP,3.65,0.41,0.50824852
C5orf66-AS1,6.16,0.22,0.445629
AC093495.1,9.14,-0.06,0.418910419
PCAT1,5.58,-0.11,0.411725197
UNC5CL,3.75,-0.93,0.328659519
UTP14C,10.66,-0.05,0.419609743
AC010273.2,5.39,-0.28,0.395530329
AC073857.1,6.51,0.08,0.429315887
PYCARD,10.36,0.14,0.430283313
BPTF,13.29,-0.03,0.421640842
UQCRFS1,11.29,0.04,0.425054628
MOCS3,9.79,0.06,0.42583448
ZNF843,6.03,0.12,0.433962777
BCL2,9,0.04,0.425239764
MCM5,10.26,0.11,0.428980013
AP005131.6,4.69,-0.34,0.386896857
AC027644.3,7.82,0.11,0.430510398
DSC2,9.62,-0.16,0.413747391
GUSBP5,3.63,-0.46,0.364731299
FBXO6,9.27,-0.08,0.417348508
PARD6B,10.69,-0.08,0.418040814
TMEM14A,10.04,0.03,0.424770988
IPPK,8.9,0.1,0.429738816
AC144652.1,7.59,0.13,0.433418548
FOXC1,11.58,-0.04,0.420340358
DNAJC27,9.01,-0.07,0.418655889
ELOVL6,9.52,0.05,0.425716334
GPC3,6.93,-0.11,0.414299976
UQCC2,10.12,0.05,0.425914807
FHOD3,9.06,-0.06,0.418877414
GALNT12,10.24,0.06,0.426073186
CEP128,11.15,-0.04,0.420593542
C5orf42,12.51,-0.08,0.419004398
GPR137C,4.7,0.42,0.487487882
RNU5A-1,4.82,-0.39,0.381879268
ZDHHC24,9.77,0.07,0.427253318
HMGCS1,12.33,0.08,0.426445878
AC011294.1,4.89,-0.17,0.404662837
PRPS1,10.66,0.04,0.42519717
ATP13A5,4.72,0.18,0.446601387
CD3EAP,7.83,0.06,0.426644614
AHRR,3.63,-0.64,0.348254554
AL845472.2,5.82,-0.25,0.399832922
RBM8A,12.34,0.02,0.423901851
FAAP20,9.19,0.09,0.427993419
TRIB1,10.6,-0.03,0.421024569
DNAH12,13.64,-0.06,0.420411577
TRUB2,10.51,-0.04,0.420832339
SOCS5,9.76,-0.08,0.418380656
NDUFB6,9.73,-0.03,0.421274042
TADA1,8.74,-0.1,0.416192768
PPM1N,3.35,0.37,0.505065045
FBXO9,10.74,-0.01,0.421755499
EPB41L4A,11.42,-0.03,0.421476515
GOLGA6L9,7.65,-0.19,0.408986622
RASD1,4.17,0.62,0.551921825
POLR2M,9.73,-0.15,0.413632417
STMND1,11.04,-0.04,0.420227862
ADH1C,12.85,0.05,0.424613025
MAPK14,11.11,0.04,0.424394168
FOXP2,10.14,-0.07,0.418344973
HPRT1,9.28,0.1,0.429437964
TSPAN9,10.14,0.07,0.427076807
FLVCR1,10.22,0.06,0.426464128
SLC26A8,6.25,-0.32,0.396430437
DTNB,9,0.09,0.428105671
AL031009.1,2.88,0.53,0.589004101
HIST1H3I,10.47,0.09,0.427697709
CCDC138,11.04,-0.1,0.417173238
RNF135,9.7,-0.05,0.419706048
RNU6-4P,4.67,-0.2,0.400680315
KLHL9,10.97,-0.08,0.418501942
RF00012.18,6.16,0.21,0.443798081
TSGA10,12.02,-0.1,0.417612232
MRPL44,9.68,-0.03,0.420872851
EEF1E1,7.25,0.17,0.437420305
NKAIN2,5.92,-0.17,0.407601371
EEPD1,8.92,0.04,0.425262289
SNHG3,6.87,0.12,0.43370304
RUNX2,8.8,-0.1,0.416239934
TSPAN14,12.14,0.07,0.426016318
ANKRD33B,7.51,-0.13,0.413009029
ADH6,8.41,-0.12,0.415089493
PLEKHH3,9.68,0.12,0.429988201
GRB10,9.18,-0.09,0.416687984
CDK2,9.1,0.08,0.427816993
RNASEH2B,9.4,0.05,0.42534069
KLHL5,12.01,-0.08,0.418540091
NAA10,8.71,0.06,0.42623463
MARS2,8.4,0.13,0.431891343
RRBP1,13.32,0.03,0.424246105
ZNF492,4.69,0.39,0.481101251
PATL1,10.99,0.03,0.424235547
FGFR2,12.59,0.04,0.424187878
PRR34-AS1,4.52,0.21,0.451483685
RBM20,6.7,-0.19,0.406635511
CPEB4,12.11,-0.05,0.419969968
NRBP2,8.57,-0.13,0.414147339
TFAP2C,9.06,0.08,0.427844031
AC009812.4,3.8,-0.44,0.369425344
NOP10,10.28,0.04,0.424914548
AC027281.1,8.34,-0.14,0.413276528
PLEKHH1,10.1,0.07,0.42632328
CFAP54,12.18,-0.09,0.418758026
MAP3K2,12.36,-0.09,0.418198891
RGPD2,4.98,-0.36,0.386964369
VNN2,8,-0.1,0.415146248
SPAG7,10.98,0.04,0.424415034
RTN3,12.61,-0.06,0.420230795
CTNNA1,14.65,0.02,0.423176546
MED12L,6,0.17,0.439313869
AP003068.4,3.82,0.4,0.497268151
RFC4,8.82,0.09,0.429112111
UPF3A,11.01,0.05,0.425296904
PSME1,12.25,0.02,0.423595506
AL162231.2,5.52,-0.09,0.412860907
ZNF397,10.59,-0.05,0.419948298
S100A8,11.04,0.21,0.434440006
AL031005.1,5.16,-0.27,0.396069031
DPH3,9.88,-0.11,0.415982759
GRHL3,8.14,0.1,0.430411375
GPR161,10.16,0.05,0.425904617
OPRL1,6.55,-0.14,0.410821702
CD4,10.04,-0.06,0.418862893
EGOT,3.24,-0.79,0.330093178
NME7,11.03,-0.07,0.419033432
UBQLNL,3.76,0.51,0.52667794
MSANTD4,9.54,-0.11,0.415751455
FAM212A,7.08,0.16,0.436925943
TMTC1,9.63,0.08,0.427935888
FAM53A,5.07,0.3,0.461768782
PHF11,9.65,-0.07,0.418915903
MED6,9.81,0.05,0.426023564
RNF150,8.26,-0.1,0.415828986
MORF4L1P1,9.2,0.08,0.427763512
OR7E91P,5.58,-0.37,0.38896991
SETDB1,10.92,0.05,0.425316878
PANO1,5.46,-0.17,0.405731713
HKDC1,2.81,0.66,0.654973778
PRTFDC1,6.39,0.21,0.442396429
ERCC-00157,6.49,-0.2,0.405907963
RPS11,14.6,0.05,0.424375533
SEC31B,4.63,0.36,0.47469535
AC092747.4,8.46,-0.11,0.41577198
KLHL17,7.02,0.12,0.432867625
AC011503.2,4.16,-0.36,0.38023127
AC010168.1,3.84,0.24,0.463808731
AR,7.55,-0.19,0.40834125
CYP2C9,3.14,-0.5,0.353601542
SPAG17,13.05,-0.06,0.420311374
UBA7,10.36,-0.07,0.419166286
TTC30A,12.12,-0.05,0.420602883
OAZ3,6.05,-0.17,0.407902649
AL031847.1,3.46,0.33,0.49193414
PLCE1,12.04,-0.05,0.419954746
ZNF556,4.92,-0.31,0.390414446
ARHGAP25,6.62,-0.2,0.406752677
BX539320.1,2.41,0.85,0.892266843
TMSB4X,13.51,0.05,0.424515954
AL121832.3,2.75,-0.62,0.335331781
HS3ST3B1,8.14,-0.1,0.416191141
ZNF486,8.92,-0.09,0.417366563
CWH43,8.91,-0.15,0.412834662
HMGB2,11.27,0.04,0.424714181
AL133517.1,4,0.27,0.469553879
SYNPR-AS1,7.31,0.11,0.432148604
KRT8P3,4.44,-0.27,0.391388258
ANKRD31,7.1,0.12,0.432763702
FAM174B,9.96,0.1,0.428568371
VASH2,6.66,0.23,0.444067489
HDAC2,12.25,0.03,0.424387643
TEX22,4.8,-0.27,0.392788335
AC092647.5,4.93,-0.34,0.387104676
CXCL6,8.92,-0.13,0.414476174
CEBPA,9.47,0.07,0.427395121
EDIL3,6.9,-0.16,0.410395692
GTSE1-AS1,4.51,-0.34,0.38500506
RNU4-2,10.45,0.1,0.428283172
RTN2,6.84,0.14,0.434377203
STXBP4,11.02,-0.08,0.418861873
NDUFAB1,10.44,-0.07,0.419192784
HIF1AN,11.95,0.04,0.424595879
SLC35B1,9.67,0.07,0.426894355
AC046143.1,5.87,0.14,0.437120885
AC004057.1,6.76,0.15,0.435466344
AC008038.1,8.8,0.13,0.431889423
LIMCH1,10.2,-0.06,0.419666236
HDHD5,9.15,0.1,0.429535415
METTL23,8.53,-0.08,0.416895478
TICAM1,8.94,0.15,0.43222947
GABPA,10.46,-0.08,0.418662707
CYB5R3,12.44,0.05,0.424990178
CYP4Z1,6.96,-0.19,0.407702936
AC093323.1,9.97,-0.03,0.420538887
UTP15,9.6,0.06,0.425897095
AC018628.1,6.36,-0.13,0.41189591
COL21A1,10.49,0.06,0.425991215
TPRN,8.88,0.14,0.432502602
GLDN,5.59,-0.21,0.401854565
SLC30A2,4.5,-0.32,0.386103639
SLC16A14,7.73,-0.13,0.412775271
PFDN1,9.88,0.05,0.425208917
C1QBP,11.29,0.06,0.426096613
GRIPAP1,11.24,0.03,0.424544835
ETS2,12.06,-0.03,0.42090318
PHKA1,10.13,-0.05,0.419829408
EML2,11.6,-0.04,0.420343829
TRAK1,13.4,0.02,0.42351409
DDX11L2,1.94,-1.01,0.286004168
RIC8B,8.79,-0.12,0.415402253
TRNAU1AP,9.44,0.04,0.425529328
AC005076.1,4.41,-0.28,0.390201352
PRKD3,10.66,-0.06,0.41943748
SHISA4,6.56,0.18,0.438801223
MIGA2,8.93,0.06,0.427022175
TAF4B,7.22,0.14,0.434295843
NSFL1C,11.8,0.06,0.425285583
ICA1,9.36,0.07,0.42745125
SKAP2,10.51,-0.08,0.418682112
TP53TG3D,4.74,-0.19,0.402027143
HEMK1,8.85,-0.06,0.418362369
AL606469.1,3.11,0.2,0.465173597
AC034231.1,5.45,-0.29,0.394289635
SLC46A3,10.17,-0.04,0.420396913
RNF39,8.6,0.13,0.431660905
RCC1L,10.33,0.06,0.426421799
LRRC37A,5.77,-0.21,0.402470709
VPS13B,11.95,-0.05,0.419934406
ALOX5,8.01,-0.12,0.414254828
KRT77,4.47,0.19,0.449626756
ZNF765,8.75,0.11,0.429647167
AC104966.1,3.93,-0.35,0.378335814
NRG2,7.22,0.12,0.433134723
KNSTRN,9.47,0.08,0.427613385
POLR2K,10.18,0.08,0.426873706
PRKCB,5.23,-0.32,0.391890298
MRPL45,10.33,0.1,0.427967221
ZBTB12,8.99,-0.09,0.416564986
SMG6,11.58,0.05,0.425499447
ARSK,8.01,-0.16,0.411108679
MYO5B,13.18,-0.02,0.421485635
RBL1,8.86,0.1,0.429764354
SOX21,11.08,0.07,0.426345539
AC005332.4,6.1,-0.35,0.392422636
USP30-AS1,4.16,0.21,0.45628625
IFT172,13.52,-0.03,0.421090809
CDC20B,13.76,-0.07,0.419741589
RAB35,10.64,0.02,0.424102739
AL357153.1,7.82,-0.15,0.411514303
CSRNP2,10.18,0.02,0.423788523
HS6ST2,8.35,-0.1,0.416350601
POMZP3,6.95,-0.1,0.415113953
MIOS,10.21,-0.05,0.419477018
LINC01123,5.26,0.3,0.459744337
ATP2C2-AS1,3.91,0.26,0.465712925
AC005831.1,7.73,-0.06,0.418239624
NUP133,11.01,-0.02,0.42125703
TUBD1,8.31,0.08,0.428792067
AC023510.2,6.63,-0.41,0.390427002
MAOA,12.25,0.02,0.423280203
CHMP1A,11.54,0.07,0.426196351
TMCC2,9.17,0.1,0.429518604
CALR,14.13,0.05,0.424706775
TULP3,11.31,-0.04,0.42028546
BCL2A1,6.07,-0.16,0.408815514
GPRASP1,7.83,0.11,0.430999885
FBXL13,9.81,-0.11,0.415933953
SIK3,11.4,-0.03,0.420802439
ARMC4,12.68,-0.05,0.420390132
ENPP2,4.37,0.39,0.487378491
RF00003.5,3.79,0.18,0.454379969
KLK10,10.73,0.08,0.427386852
GSTM4,8.38,0.12,0.431652994
SPA17,12.58,-0.04,0.420522199
CEP78,12.36,-0.09,0.418199095
TYSND1,9.73,0.09,0.427689134
MRPL27,9.77,0.08,0.427057857
GNL3,11.08,0.06,0.42545844
MRPL42P6,#NUM!,#NUM!,#NUM!
TAS2R64P,#NUM!,#NUM!,#NUM!
ZNF254,10.05,-0.11,0.416836579
TEDC2,6.97,-0.08,0.416713955
ERMP1,12.26,0.02,0.423594758
PTCHD4,7.29,-0.1,0.414441029
AMER1,8.68,0.03,0.425105408
ABCA1,10.13,-0.07,0.418340567
ABRAXAS2,9.83,0.08,0.427426047
CALML3-AS1,6.08,-0.13,0.410829345
RIN2,11.96,-0.02,0.421367242
MCF2L,10.48,0.05,0.42506056
ZNF837,6.82,-0.16,0.409184655
FMNL2,10.06,-0.09,0.417576282
ADGRA1,6.91,-0.19,0.407607503
PCDHGA5,5.5,0.31,0.460226545
YIPF3,11.31,0.03,0.424531515
THNSL2,4.67,0.31,0.468468786
AL512590.3,5.22,0.2,0.445899476
COQ10A,8.49,-0.14,0.413439034
AL596202.1,5.63,0.25,0.451047008
PRSS16,7.41,-0.1,0.415567497
SLAIN1,7.18,0.2,0.439158428
F5,8.83,-0.12,0.415014954
FANCE,8.5,0.07,0.427945018
IL7R,5.02,-0.54,0.371836802
C12orf56,6.04,0.26,0.449325802
SFT2D1,9.32,0.02,0.424309734
USP38,10.38,-0.07,0.418806822
DYNC1H1,14.97,-0.04,0.421115269
RALGAPA1P1,5.8,-0.22,0.40292065
HLA-K,7.64,0.13,0.433376288
PPP1R21,9.7,0.05,0.426062275
AC087501.4,6,-0.28,0.397510784
ZSWIM7,8.76,0.08,0.42757475
AC012306.2,6.61,-0.15,0.410114918
ALKBH6,4.35,0.43,0.495416165
KRT17,13.42,0.14,0.428510257
ERCC-00014,6.06,-0.15,0.409046549
ANKS3,8.45,0.08,0.42822664
NUMB,11.81,-0.01,0.422161512
ZNF225,8.14,0.13,0.432659075
AC090204.1,5.83,0.25,0.450429244
PIK3CD-AS2,5.65,-0.08,0.41536574
DCAF12,11.67,-0.02,0.421335494
HBEGF,8.41,0.2,0.436600072
PAQR6,4.11,0.3,0.472506978
BRD7,11.62,0.04,0.42431703
SYVN1,10.31,-0.05,0.420247226
POLR3B,9.43,-0.04,0.420626242
CSGALNACT1,5.76,-0.31,0.395259115
GAS1,8.03,0.14,0.43357999
ABHD14B,9.96,-0.07,0.418267165
GALNT14,5.97,0.38,0.465732515
EIF5A2,7.66,-0.11,0.415073377
NGB,3.43,0.63,0.585670535
SEPHS2,10.84,0.04,0.424796402
BX284613.1,2.32,-0.47,0.341939889
RAB33B,8.8,-0.08,0.417499412
DCDC1,11.31,-0.09,0.418125864
LGALS9,10.32,0.09,0.427777535
MAPK9,10.39,-0.04,0.420444434
PSMD6-AS2,2.11,-0.63,0.32550807
CACHD1,10.36,-0.06,0.419345499
MAFG-AS1,8.1,0.12,0.431958326
AC009961.1,5.34,-0.19,0.403503888
PURA,11.71,-0.07,0.418914256
STRADB,7.48,0.15,0.434201306
C1orf50,7.71,0.1,0.430866056
CFLAR,13.76,-0.05,0.420844953
MCPH1,10.33,-0.04,0.420431534
EIF2S3B,4.4,0.39,0.485768058
VAMP7,10.63,-0.07,0.419252717
OSER1-AS1,7.11,0.14,0.434509668
CTTNBP2NL,11.56,-0.04,0.420665753
APOL6,11.86,-0.05,0.420558544
TTC5,11.12,0.04,0.424742175
PIPOX,4.93,-0.4,0.38186627
KRT19,16.24,0.06,0.424559522
PCOLCE,7.54,-0.08,0.416156969
AL133243.2,4.07,0.24,0.462439934
TEKT1,13.49,-0.05,0.420808109
PRPSAP1,10.76,0.06,0.425907119
KBTBD3,7.66,-0.11,0.414108606
PRKAB1,10.48,-0.03,0.421007875
AL021328.1,3.22,-0.61,0.344658025
AC008555.5,5.05,-0.21,0.401221795
RHOXF1-AS1,6.47,-0.12,0.412338166
PPP1R12C,9.95,0.08,0.426976408
MKLN1-AS,5.49,0.14,0.43896021
HMGXB3,11.39,-0.06,0.41997385
BX293535.1,5.2,-0.31,0.391325658
SDHAP1,8.48,0.1,0.429157689
NOXRED1,3.99,0.34,0.481582056
UVSSA,10.14,0.02,0.424174737
TRIP6,11.07,0.09,0.42742342
KPNA7,7.38,0.17,0.436621184
IMPG2,5.99,-0.26,0.40020234
MAPK1IP1L,11.5,-0.05,0.420493976
TRAPPC13,9.3,-0.11,0.416385886
RPL10P16,6.14,-0.17,0.408087854
ANGEL1,9.1,0.08,0.427384445
CYB5R2,9.42,0.06,0.426375458
ZSCAN30,8.91,-0.07,0.418187684
MORC2,10.92,0.06,0.425500556
LCMT2,9.18,0.06,0.426903172
PACSIN1,4.25,-0.45,0.371691703
STX1A,6.34,0.2,0.442105616
AL391056.1,4.63,-0.22,0.398414364
ZSWIM2,4.69,-0.3,0.39069653
AC104435.2,4.97,-0.28,0.393510827
C22orf46,9.96,0.08,0.427757812
EVC,9.56,0.06,0.426730521
PCDHB16,6.14,-0.24,0.401743806
FOXN4,10.7,-0.14,0.415292122
TMEM117,7.76,-0.14,0.412602772
NDST2,3.87,0.36,0.489013961
GATA6,6.83,-0.18,0.407694635
SNORA33,3.84,-0.33,0.379587271
WDFY3,12.49,-0.04,0.421118356
POGK,10.98,0.03,0.424590425
AC092070.2,8.34,-0.1,0.41544321
C5orf34,6.53,0.19,0.439855301
RLIM,12.58,-0.07,0.41916959
SAMD8,11.29,-0.05,0.419777914
FOXJ2,10.02,-0.06,0.419612226
ZNF41,9.32,0.11,0.43005981
NSUN3,9.43,0.09,0.427855583
CYSLTR1,4.49,-0.27,0.392550699
ZNF658B,6.82,-0.1,0.414973836
IFI27L1,7.99,-0.07,0.41815554
ATP5F1C,11.83,0.04,0.424615361
TTLL6,8.75,-0.07,0.418103311
ZNF169,5.64,-0.19,0.405086158
LIPE-AS1,6.07,-0.16,0.408204058
PTPN11,12.56,-0.03,0.421582541
CHST11,8.95,-0.06,0.419255416
GJB4,9.07,0.12,0.430057639
C2CD5,11.34,-0.06,0.419292351
AC135050.6,7.79,0.13,0.43212618
UBFD1,11.3,-0.04,0.42062083
GOLPH3,12.35,-0.01,0.422494248
HMGB1P5,7.21,0.11,0.431195929
FDFT1,13.26,0.06,0.425286016
TBL2,10.23,-0.04,0.420410413
AL162376.1,3.68,-0.6,0.352278908
RNA5SP283,3.81,0.52,0.527515109
SELENOS,10.41,0.06,0.425642332
TDRD1,6.95,-0.25,0.402788797
CABP4,3.66,-0.67,0.34524165
ERCC6L2,10.63,-0.05,0.4196006
HLA-B,13.65,0.04,0.424635986
AC087481.3,5.33,-0.16,0.406333105
TMX4,10.9,-0.05,0.420376705
CD200R1,11.14,-0.08,0.418223745
FAM122A,9.92,-0.04,0.420725246
PPP1R2,12.3,-0.11,0.41788623
ZNF264,12.72,-0.06,0.419653352
SPATA1,4.04,0.27,0.467187304
MRPL45P2,6.01,-0.13,0.410068882
PCAT6,6.62,-0.14,0.410392271
AL138976.2,4.42,0.27,0.463778822
NPEPL1,8.26,0.14,0.432777281
CFAP97,11.46,-0.07,0.419498671
BOP1,9.17,0.14,0.432178724
STK26,9.93,-0.11,0.416775856
AC019080.1,7.56,0.08,0.428893708
AL358472.4,3.96,0.33,0.482640432
CDC123,10.66,0.04,0.424468278
TIMM8B,9.74,0.05,0.425644286
SLC6A17,4.44,-0.49,0.371391872
ARSG,6.19,-0.21,0.404930207
RABL2A,11.3,-0.05,0.420456334
CHMP3,11.19,-0.02,0.421621705
POFUT1,10.8,0.05,0.425707949
DDIT3,7.41,0.13,0.432614057
C22orf23,9.11,-0.08,0.41808297
FRA10AC1,9.1,0.13,0.431573538
CARD11,9.02,0.1,0.428758518
CRCT1,5.73,0.67,0.510544294
AMZ1,4.53,-0.34,0.384380958
RP2,10.04,-0.06,0.419618501
FCF1,11.86,-0.04,0.420394532
TPP2,12.04,-0.07,0.419648191
VLDLR,9.91,-0.06,0.419197973
C6orf52,7.93,0.17,0.435568145
LINC01801,4.2,-0.29,0.386907964
AC109992.1,5.15,-0.26,0.396890174
FTH1P20,4.89,-0.31,0.390232299
DUSP18,10.89,-0.05,0.420374724
HEATR5A,11.55,-0.1,0.417410602
AC020661.1,3.65,-0.61,0.351869887
NDOR1,8.19,0.13,0.432107172
SBSN,6.5,0.36,0.459664935
AC137767.1,6.06,-0.36,0.392060651
SCART1,3.49,0.29,0.479465465
INTU,11.08,-0.09,0.417693373
FERMT3,2.62,0.55,0.62989686
SAFB2,11.08,0.08,0.426527542
THAP6,9.89,-0.06,0.419573138
HHLA2,10.1,-0.11,0.416123663
TMPO,12.18,0.08,0.426171192
CHST4,8.6,-0.13,0.414616495
AP002748.3,5.68,0.15,0.43875431
ANKRD20A11P,5.06,-0.17,0.405175652
EZH1,9.97,-0.05,0.420163364
PROS1,10.35,-0.08,0.418620385
UCN2,3.73,0.53,0.537694523
HTR1D,4.27,0.2,0.45345784
RSRP1,9.68,-0.07,0.418533104
UST,9.94,-0.05,0.420159402
NIPSNAP3A,10.03,-0.1,0.417009717
TRIM71,4.1,-0.31,0.385762288
DNASE1L1,9.51,0.09,0.428630253
MIR3142HG,6.02,0.2,0.443939775
MEST,8.16,0.14,0.432435519
MRPS30-DT,5.57,-0.2,0.403995314
FAT4,7.21,-0.12,0.413358684
TCF7,9.63,-0.08,0.417542915
PAPSS1,12.35,0.02,0.42358805
VPS13A,12.21,-0.11,0.417538926
ATP2A1-AS1,4.96,0.32,0.464600416
DHRS4L2,8.92,-0.09,0.4173592
TMEM134,9.6,0.09,0.428170468
FRK,13.03,-0.05,0.420158189
GPR89A,7.26,0.12,0.432539038
TOR2A,8.28,0.17,0.434537316
MOXD1,5.32,0.12,0.436284121
PSCA,10.86,-0.09,0.417947503
SAT1,14.67,0.04,0.423968804
FAM160A2,9.71,-0.04,0.4206836
AC026740.1,4.49,0.21,0.453395573
NECTIN3,8.27,-0.11,0.41471874
SYDE2,7.6,-0.1,0.414760892
TPH2,4.6,-0.4,0.380035104
DHODH,8.58,0.15,0.433114728
AC007637.1,6.12,0.15,0.438221989
AL138756.1,7.21,0.09,0.429501503
SMAD2,12.7,-0.06,0.419648269
ZACN,4.03,0.37,0.488456599
ALPK3,9.65,-0.06,0.419105676
AC012313.9,4,0.36,0.486989404
AC022613.2,3.93,-0.38,0.376359922
LINC00278,5.7,0.25,0.450634219
LINC00665,8.55,0.04,0.425833446
RELL2,5.99,0.22,0.445639969
AKTIP,9.42,-0.04,0.419815723
RPSA,14.12,0.04,0.424020242
RASSF8,8.95,0.07,0.427240119
CPEB2-AS1,2.46,0.62,0.693487194
STK40,10.83,0.06,0.42624668
GREB1,3.88,-0.82,0.337547961
AC090246.1,5.38,0.21,0.447193678
PRSS27,4.72,-0.41,0.380790915
FBXO30,9.79,-0.09,0.417052128
PEA15,11.17,0.05,0.424911102
DBNDD2,4.41,-0.21,0.398440487
AMIGO2,7.15,-0.15,0.411538854
AL031777.3,4.34,-0.34,0.382984837
MAP3K21,7.73,0.09,0.429538003
AC092142.1,6.98,-0.09,0.415393861
LINC-PINT,5.11,-0.18,0.402981116
DNAJC21,11.32,0.05,0.425565222
ZNF25,8.37,-0.09,0.416571971
GATC,9.5,0.07,0.426973689
LINC00571,5.74,0.21,0.445439422
RAD51B,8.43,-0.06,0.418151942
AL590666.2,5.43,0.08,0.431425285
AC069185.1,6,0.25,0.448978765
RNF215,7.58,-0.08,0.416687524
APBA3,7.72,0.12,0.432431729
AC011468.5,4.54,0.42,0.487735587
ZXDB,9.24,-0.06,0.418950731
RRM2B,10.94,-0.09,0.418325127
GPR156,6.45,0.22,0.443150905
RF00003.2,3.27,-0.27,0.382792548
MLLT11,6.05,0.31,0.45646716
C20orf24,8.38,0.15,0.432896298
AL138963.3,7.1,0.24,0.443564953
MFAP1,10.93,0.05,0.425670886
MRPL16,9.86,0.06,0.426604547
MICAL1,8.71,0.09,0.429195795
ANKRD28,11.82,-0.05,0.420551529
HNRNPA1P10,5.4,0.16,0.440060597
PRH1,3.53,-0.58,0.352107103
AC079834.2,6.02,0.17,0.440639875
FAM218A,4.63,0.18,0.446081347
DDX55,8.96,0.04,0.425686328
DDX21,11.94,0.05,0.425089204
UIMC1,9.89,-0.02,0.421874507
PRCC,10.92,0.05,0.425317152
CYP2C18,7.72,-0.06,0.417745099
SHF,7.75,0.1,0.429787628
GALNS,10.9,-0.08,0.418475543
TIMM29,8.86,-0.07,0.41773321
EPPIN-WFDC6,4.58,0.22,0.453571589
PTPRK,12.37,-0.02,0.421409527
RN7SL4P,9.86,0.16,0.432341318
MMP2,5.33,-0.27,0.39551637
SPC24,8.45,0.09,0.428476005
ANXA3,10.05,0.07,0.426730855
PDZD2,11.04,0.05,0.425640709
DNAH7,13.23,-0.07,0.419915312
AC008124.1,8.98,-0.09,0.416974647
ANKRD66,11.76,-0.04,0.421023942
SRGAP3,11.66,-0.03,0.421499632
AC009053.1,5.32,0.39,0.473117731
